species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25
Hirtella triandra,1300,400,1100,400,1600,2500,N/A
Hirtella tubiflora,1000,500,N/A,0,N/A,N/A,N/A
Hoffmannia longipetiolata,2400,2500,1900,0,N/A,N/A,N/A
Hortia brasiliana,1200,200,500,N/A,0,N/A,N/A
Huertea glandulosa,0,1500,2300,2300,2300,N/A,N/A
Hura crepitans,1500,1700,800,1800,2700,500,N/A
Hymenaea courbaril,1400,1900,600,N/A,1100,1000,N/A
Hymenaea oblongifolia,300,1100,400,700,500,N/A,N/A
Hymenopus heteromorphus,1000,1000,1400,0,1300,N/A,N/A
Hyospathe elegans,1500,1700,2700,1600,1900,400,N/A
Hyptidendron arboreum,1500,N/A,300,0,1600,300,N/A
Ilex andicola,0,500,1600,N/A,1600,800,N/A
Ilex colombiana,0,400,N/A,N/A,N/A,0,N/A
Ilex danielis,1100,600,N/A,400,N/A,N/A,N/A
Ilex goudotii,900,N/A,N/A,N/A,1200,600,N/A
Ilex guayusa,500,1700,2800,100,1900,0,N/A
Ilex karstenii,400,0,N/A,300,0,N/A,N/A
Ilex laurina,2700,1500,1500,2000,2600,0,N/A
Ilex myricoides,1600,900,1200,N/A,700,100,N/A
Ilex nervosa,1900,1100,1500,1600,1900,700,N/A
Ilex sessiliflora,500,N/A,N/A,N/A,1100,500,N/A
Inga acreana,1100,2200,2000,1600,2200,1100,N/A
Inga acrocephala,2500,2000,1300,1500,2000,N/A,N/A
Inga acuminata,2000,2400,1100,N/A,300,N/A,N/A
Inga alba,1400,900,1500,700,1700,1200,N/A
Inga bourgonii,600,1200,1500,900,2000,1000,N/A
Inga capitata,400,1500,1400,1900,2600,1000,N/A
Inga chartacea,1000,1300,1400,300,2100,300,N/A
Inga cinnamomea,1100,1600,1000,0,600,600,N/A
Inga cocleensis,2100,2800,0,N/A,N/A,N/A,N/A
Inga coruscans,1800,2400,1800,100,1600,300,N/A
Inga densiflora,2500,3400,2400,1400,200,200,N/A
Inga edulis,2000,2200,2600,1500,1700,1000,400
Inga fendleriana,1600,0,900,N/A,1400,1200,N/A
Inga heterophylla,1400,1100,800,1200,1800,1300,N/A
Inga lallensis,1100,2200,2900,N/A,200,N/A,N/A
Inga laurina,2100,1700,2000,0,1400,1200,0
Inga lopadadenia,500,1000,400,900,1100,0,N/A
Inga macrophylla,1600,1200,900,300,1800,1100,0
Inga marginata,2600,2400,2300,2200,2700,1900,1400
Inga multijuga,2100,2000,1800,N/A,1300,N/A,N/A
Inga multinervis,0,1600,1300,0,1300,0,N/A
Inga nobilis,2400,2400,2000,2000,2100,2200,N/A
Inga oerstediana,2200,2100,2400,1600,2000,1400,N/A
Inga pezizifera,1700,1600,800,N/A,1600,300,N/A
Inga pruriens,0,0,700,0,200,N/A,N/A
Inga punctata,2700,2900,1800,1900,2700,1300,N/A
Inga ruiziana,2000,1700,3000,2000,1600,1300,N/A
Inga sapindoides,2300,2200,1900,600,1900,1000,N/A
Inga sertulifera,1300,1600,1300,0,1000,N/A,N/A
Inga setosa,1500,200,100,N/A,2000,1800,N/A
Inga sierrae,1600,900,0,N/A,N/A,N/A,N/A
Inga spectabilis,1700,1400,2100,0,1800,0,N/A
Inga stenoptera,2200,1500,1200,2700,1100,200,N/A
Inga striata,1400,800,2700,1700,2100,2400,N/A
Inga thibaudiana,1300,1100,1000,1000,1800,1100,N/A
Inga tomentosa,0,0,0,0,2200,1300,N/A
Inga umbellifera,2700,1500,900,400,1600,1500,N/A
Inga velutina,1900,1800,1800,N/A,1500,400,N/A
Inga venusta,1700,1600,800,0,300,N/A,N/A
Inga vera,2200,3000,2600,0,1800,N/A,N/A
Inga villosissima,1700,1000,2000,N/A,N/A,0,N/A
Iriartea deltoidea,1200,2600,1800,1200,1300,1200,N/A
Iryanthera hostmannii,800,500,300,N/A,N/A,N/A,N/A
Iryanthera juruensis,100,800,1000,500,1300,600,N/A
Iryanthera paraensis,200,400,300,1000,1700,N/A,N/A
Iryanthera ulei,1100,200,600,200,1200,0,N/A
Isertia laevis,2100,1900,2400,1400,1900,900,N/A
Jacaranda copaia,1300,1100,1700,2300,1100,500,N/A
Jacaranda glabra,0,600,800,800,2400,1400,N/A
Jacaranda hesperia,1100,800,0,N/A,N/A,N/A,N/A
Jacaranda mimosifolia,600,300,1400,N/A,1200,1800,1500
Jacaranda obtusifolia,700,1000,200,N/A,100,N/A,N/A
Jacaratia chocoensis,0,0,N/A,N/A,600,N/A,N/A
Jacaratia digitata,600,1500,1500,700,1200,2100,N/A
Joosia umbellifera,900,1900,2000,100,0,0,N/A
Juglans neotropica,2700,2900,2000,1100,2900,700,N/A
Lacistema aggregatum,2000,1900,1900,1300,1700,1600,0
Lacistema nena,0,900,1100,600,800,900,N/A
Lacmellea edulis,1400,1400,1600,0,600,N/A,N/A
Lacunaria crenata,900,1300,200,N/A,N/A,N/A,N/A
Ladenbergia macrocarpa,2800,2700,1700,400,900,0,N/A
Ladenbergia muzonensis,1700,1900,1300,1000,0,N/A,N/A
Ladenbergia oblongifolia,3100,2300,2600,1900,1900,2300,N/A
Lafoensia acuminata,2100,2500,2100,2000,1000,0,N/A
Lecointea amazonica,1000,0,0,N/A,700,N/A,N/A
Lecythis ampla,800,1400,0,N/A,N/A,N/A,N/A
Leonia glycycarpa,1400,900,1900,1500,1400,700,N/A
Leonia occidentalis,500,100,900,N/A,N/A,N/A,N/A
Leonia triandra,2800,600,0,N/A,N/A,N/A,N/A
Leucaena trichodes,200,3100,2200,1500,1700,N/A,N/A
Licania canescens,200,500,400,400,100,0,N/A
Licania harlingii,0,600,900,400,600,0,N/A
Licania hypoleuca,800,800,700,200,900,N/A,N/A
Licania micrantha,800,1200,100,900,700,300,N/A
Licania octandra,0,300,800,300,300,N/A,N/A
Licaria applanata,1700,1300,1900,N/A,N/A,N/A,N/A
Licaria canella,1800,1500,2700,2000,1400,1200,N/A
Licaria cannella,1800,1500,2700,2000,1400,1200,N/A
Licaria triandra,2100,1400,1800,900,1200,800,N/A
Ligustrum lucidum,0,400,N/A,N/A,N/A,3200,N/A
Lindackeria paludosa,1800,1400,600,400,500,N/A,N/A
Lippia americana,1200,0,0,0,N/A,N/A,N/A
Lippia hirsuta,3200,2600,0,N/A,N/A,N/A,N/A
Lonchocarpus sericeus,1200,400,N/A,0,N/A,N/A,N/A
Lozanella enantiophylla,2400,1100,2200,1200,1400,800,N/A
Lozania mutisiana,2700,2300,1600,1200,500,N/A,N/A
Luehea seemannii,2100,1000,100,N/A,0,0,N/A
Lunania parviflora,1700,500,900,2300,800,1700,N/A
Lycianthes inaequilatera,2200,2500,2900,1300,2100,1500,N/A
Lycianthes pauciflora,2200,1900,2000,2200,2200,1700,N/A
Mabea occidentalis,2000,1500,400,N/A,300,N/A,N/A
Machaerium acutifolium,0,N/A,N/A,N/A,1500,1400,N/A
Machaerium biovulatum,1300,0,N/A,N/A,300,N/A,N/A
Machaerium floribundum,900,700,400,200,1400,N/A,N/A
Machaerium hirtum,500,0,N/A,N/A,1600,1800,N/A
Machaerium mutisii,0,0,600,0,0,N/A,N/A
Macleania rupestris,2900,3600,3400,1100,1700,0,N/A
Maclura tinctoria,3100,2900,2300,1500,3600,1300,1600
Macrocnemum roseum,2100,1900,1800,2400,2100,1400,N/A
Macrolobium colombianum,1600,2000,700,N/A,N/A,N/A,N/A
Macrolobium gracile,100,900,1500,500,700,N/A,N/A
Malpighia glabra,2000,1300,1600,200,N/A,N/A,N/A
Manilkara bidentata,1700,800,700,1800,1300,N/A,N/A
Maprounea guianensis,1200,1200,1100,700,1200,1000,N/A
Maquira calophylla,0,800,2100,300,700,0,N/A
Maquira guianensis,900,2400,2700,N/A,800,0,N/A
Marcgraviastrum macrocarpum,1600,200,0,0,1500,N/A,N/A
Margaritaria nobilis,2600,2100,2000,1000,1400,1300,N/A
Marila laxiflora,600,1800,1000,2300,1200,1000,N/A
Marila podantha,1000,600,200,N/A,0,N/A,N/A
Matayba adenanthera,1200,100,200,N/A,N/A,N/A,N/A
Matayba arborescens,2300,700,400,200,1300,300,0
Matayba camptoneura,1700,0,0,N/A,N/A,N/A,N/A
Matayba elegans,2400,1900,100,0,0,N/A,N/A
Matayba guianensis,1900,1400,0,N/A,1600,900,N/A
Matayba peruviana,0,1300,0,1700,1500,N/A,N/A
Matayba purgans,500,1600,1400,200,300,N/A,N/A
Matayba scrobiculata,600,400,N/A,N/A,300,200,N/A
Matisia castano,200,1600,900,N/A,N/A,N/A,N/A
Matisia cornu-copiae,0,1900,0,N/A,N/A,N/A,N/A
Matisia floccosa,700,1800,0,N/A,N/A,N/A,N/A
Matisia idroboi,0,1700,1300,N/A,N/A,N/A,N/A
Mauria ferruginea,2400,2600,N/A,1600,2500,0,N/A
Mauria heterophylla,2000,2900,2800,3000,2800,1500,0
Mauria simplicifolia,0,2500,2900,3000,N/A,N/A,N/A
Mauritia flexuosa,2000,500,1000,300,200,0,N/A
Mayna grandifolia,800,0,200,1400,0,N/A,N/A
Mayna odorata,1300,1400,1100,1700,1400,1300,N/A
Maytenus verticillata,1300,1100,1500,1200,2300,1600,0
Melicoccus oliviformis,300,100,100,0,N/A,N/A,N/A
Meliosma bogotana,800,1300,500,N/A,0,N/A,N/A
Meliosma echeverryana,1300,500,0,0,N/A,N/A,N/A
Meliosma frondosa,1400,1600,2900,2000,2700,800,N/A
Meliosma glossophylla,500,100,1100,1100,1700,0,N/A
Meliosma occidentalis,1900,1900,400,N/A,N/A,N/A,N/A
Annona edulis,1000,1500,1500,N/A,200,N/A,N/A
Annona hypoglauca,0,500,400,100,200,0,N/A
Annona jahnii,500,400,0,N/A,N/A,N/A,N/A
Annona montana,1100,1400,1700,200,800,300,N/A
Annona mucosa,1800,1900,1800,1300,2500,1900,N/A
Annona muricata,3400,2800,1200,1000,1100,2000,N/A
Annona papilionella,1300,1700,1700,700,1300,1300,N/A
Annona quinduensis,2400,1900,500,N/A,N/A,N/A,N/A
Annona rensoniana,1800,1200,0,N/A,N/A,N/A,N/A
Aparisthmium cordatum,1000,1400,2000,1000,1700,1200,N/A
Apeiba glabra,1000,1000,1100,200,800,0,N/A
Apeiba membranacea,1000,800,1100,600,900,500,N/A
Apeiba tibourbou,800,500,600,200,800,600,N/A
Aphelandra glabrata,1900,900,0,300,900,1000,N/A
Aphelandra pulcherrima,1200,1000,0,0,0,N/A,N/A
Aptandra tubicina,800,500,200,100,0,N/A,N/A
Aralia excelsa,500,0,N/A,N/A,N/A,0,N/A
Ardisia foetida,3000,2400,2600,N/A,N/A,N/A,N/A
Ardisia guianensis,2300,2100,1100,900,800,500,N/A
Aspidosperma cuspa,600,900,N/A,0,N/A,N/A,N/A
Aspidosperma desmanthum,1900,1200,1500,300,600,N/A,N/A
Aspidosperma excelsum,700,1600,400,700,1000,500,N/A
Aspidosperma megalocarpon,900,1200,0,0,N/A,N/A,N/A
Aspidosperma parvifolium,1600,N/A,0,1100,1000,0,N/A
Aspidosperma polyneuron,400,300,100,2200,N/A,0,N/A
Aspidosperma spruceanum,1200,1400,600,400,700,800,N/A
Astronium graveolens,1400,1500,600,900,1100,700,N/A
Astronium lecointei,500,200,N/A,0,1300,100,N/A
Meliosma schlimii,0,300,0,0,1300,N/A,N/A
Meliosma vasquezii,0,500,1400,0,1300,1700,N/A
Meriania tomentosa,1000,2100,1900,900,1100,500,N/A
Miconia acutifolia,300,500,200,N/A,N/A,100,N/A
Miconia adinantha,400,N/A,N/A,0,700,N/A,N/A
Miconia affinis,2200,3000,1900,600,1500,2000,N/A
Miconia albicans,1900,1700,100,800,2000,1600,N/A
Miconia alternans,1600,600,200,0,0,900,N/A
Miconia aponeura,2900,1100,200,N/A,N/A,N/A,N/A
Miconia asperrima,1200,2100,1100,300,N/A,N/A,N/A
Miconia astroplocama,1000,300,1800,1800,1800,N/A,N/A
Miconia biappendiculata,1000,3100,N/A,N/A,400,N/A,N/A
Miconia biglandulosa,2800,900,700,0,300,N/A,N/A
Miconia brachycalyx,2100,3000,1200,N/A,N/A,N/A,N/A
Miconia bracteolata,2300,1200,1700,400,200,N/A,N/A
Miconia brevitheca,1800,3300,2000,N/A,N/A,N/A,N/A
Miconia calophylla,0,0,500,N/A,600,N/A,N/A
Miconia calvescens,1700,1300,3100,1700,2400,1800,900
Miconia caudata,2600,2500,N/A,N/A,N/A,0,N/A
Miconia centrodesma,2100,3600,1100,500,2300,700,N/A
Miconia chlorocarpa,1100,1200,0,N/A,N/A,N/A,N/A
Miconia chrysophylla,700,500,500,900,1700,1800,N/A
Miconia cladonia,1600,1800,1400,N/A,N/A,N/A,N/A
Miconia clathrantha,0,900,2000,400,200,0,N/A
Miconia crassinervia,800,300,N/A,N/A,0,N/A,N/A
Miconia decurrens,1300,1000,1000,800,500,N/A,N/A
Miconia denticulata,1300,1400,1400,1400,0,N/A,N/A
Miconia divergens,900,400,500,N/A,N/A,N/A,N/A
Miconia dodecandra,1600,1800,1800,700,1100,1000,N/A
Miconia dolichorrhyncha,2400,2500,2500,1300,2400,1800,N/A
Miconia donaeana,700,100,N/A,N/A,400,N/A,N/A
Miconia elata,2400,3400,1100,N/A,400,0,N/A
Miconia elongata,0,N/A,N/A,900,2500,1700,N/A
Miconia floribunda,2100,1800,1000,200,1400,N/A,N/A
Miconia goniostigma,2800,2000,1200,N/A,N/A,N/A,N/A
Miconia gracilis,1900,1800,1400,N/A,N/A,N/A,N/A
Miconia ibaguensis,2600,1900,0,300,1100,2200,N/A
Miconia incachacana,1300,N/A,N/A,N/A,100,500,N/A
Miconia jahnii,2700,1500,1600,N/A,N/A,N/A,N/A
Miconia lamprophylla,1500,1900,1400,0,400,400,N/A
Miconia latifolia,3700,3200,1400,900,600,0,N/A
Miconia ligustrina,1200,3400,900,N/A,N/A,N/A,N/A
Miconia longifolia,2000,2700,2700,900,2700,0,N/A
Miconia matthaei,1200,700,700,400,1300,1200,N/A
Miconia micropetala,2100,1200,1600,0,1700,800,N/A
Miconia minutiflora,1900,1300,100,N/A,N/A,N/A,N/A
Miconia mirabilis,1700,1200,N/A,N/A,N/A,0,N/A
Miconia multiplinervia,1400,3000,0,N/A,N/A,N/A,N/A
Miconia myriantha,800,1100,100,200,300,600,N/A
Miconia notabilis,1600,2400,100,N/A,N/A,N/A,N/A
Miconia ochracea,1000,2800,500,N/A,N/A,N/A,N/A
Miconia orcheotoma,2000,800,0,N/A,N/A,N/A,N/A
Miconia poeppigii,2400,600,700,200,1400,700,N/A
Miconia prasina,2300,3400,1500,800,1200,2300,N/A
Miconia pterocaulon,1300,1300,200,0,0,N/A,N/A
Miconia punctata,2300,1800,2700,1800,1900,1900,N/A
Miconia pustulata,1500,1300,1000,N/A,N/A,N/A,N/A
Miconia reducens,2200,1500,0,0,100,400,N/A
Miconia rivetii,0,1300,2100,N/A,300,N/A,N/A
Miconia rupticalyx,0,0,300,N/A,N/A,1300,N/A
Miconia serrulata,1700,1300,2400,400,600,300,N/A
Miconia smaragdina,2600,2200,1800,N/A,N/A,N/A,N/A
Miconia splendens,2200,1700,2600,700,3700,1500,N/A
Miconia ternatifolia,300,800,700,2200,1700,1000,N/A
Miconia theizans,3200,3300,3000,1300,3100,3100,N/A
Miconia tinifolia,1700,1600,2400,N/A,N/A,N/A,N/A
Miconia trinervia,2500,1700,1500,0,600,300,N/A
Micropholis egensis,600,1000,400,400,1000,0,N/A
Micropholis guyanensis,2000,1500,1900,900,1500,1300,N/A
Micropholis melinoniana,1600,900,400,0,900,N/A,N/A
Micropholis venulosa,1900,1300,1600,1400,1400,1100,N/A
Minquartia guianensis,600,1100,2700,1300,1200,N/A,N/A
Mollinedia killipii,900,1000,1600,1700,1000,1000,N/A
Mollinedia lanceolata,300,0,800,700,2400,2100,N/A
Mollinedia ovata,1600,2300,2200,1800,2200,2600,N/A
Mollinedia repanda,1200,N/A,1600,2300,3000,2300,N/A
Mollinedia tomentosa,2300,1800,1900,0,0,400,N/A
Monnina aestuans,2300,2500,1400,N/A,N/A,N/A,N/A
Morella parvifolia,1400,3500,2600,800,0,0,N/A
Morella pubescens,3100,3600,2900,3300,2200,3600,1100
Morisonia oblongifolia,1100,N/A,N/A,0,100,N/A,N/A
Morus alba,1300,2400,700,N/A,0,800,0
Mouriri nigra,700,200,400,300,1000,0,N/A
Moutabea gentryi,700,N/A,200,N/A,0,N/A,N/A
Muntingia calabura,1500,3300,2500,1400,1800,1400,300
Myrcia minutiflora,0,N/A,0,N/A,200,N/A,N/A
Myrcia mollis,500,0,2400,1300,2500,2500,N/A
Myrcia neesiana,0,1200,2100,1900,2100,0,N/A
Myrcia paivae,2300,3400,2600,1000,2300,2200,N/A
Myrcia paive,2300,3400,2600,1000,2300,2200,N/A
Myrcia splendens,2700,2500,2700,2600,2900,2300,N/A
Myrcia sylvatica,1400,1300,1700,1600,2100,600,N/A
Myrcianthes karsteniana,0,0,N/A,N/A,0,N/A,N/A
Myrcianthes myrsinoides,1700,400,3200,500,100,700,N/A
Myrcianthes orthostemon,2800,1600,1800,N/A,N/A,0,N/A
Myrcianthes rhopaloides,1200,1900,2500,1600,1300,1000,N/A
Myriocarpa stipitata,2500,2800,1800,2300,2700,1700,400
Myroxylon balsamum,1400,1100,1600,300,1100,1300,0
Myrsine andina,3000,3000,3100,1200,1800,700,N/A
Myrsine coriacea,3300,2700,2000,0,N/A,0,N/A
Myrsine dependens,2100,2500,1900,1800,2600,1600,N/A
Myrsine guianensis,3200,3300,2700,N/A,N/A,600,N/A
Myrsine latifolia,2100,2700,2600,2300,2100,3000,N/A
Myrsine oligophylla,0,0,N/A,1700,1800,0,N/A
Myrsine pellucida,2800,2700,2600,2500,3300,2700,N/A
Naucleopsis glabra,1700,2100,2000,0,600,0,N/A
Naucleopsis naga,600,1900,1400,N/A,0,N/A,N/A
Naucleopsis ulei,400,900,1500,1500,700,100,N/A
Nectandra acutifolia,2200,2800,2000,1800,2000,1500,N/A
Nectandra cissiflora,700,0,2200,1600,2500,2100,N/A
Nectandra cuspidata,2300,1100,1700,1400,2100,2100,N/A
Nectandra laurel,1800,2100,2200,1500,2200,1300,N/A
Nectandra lineata,1500,2600,1900,200,0,0,N/A
Nectandra lineatifolia,1800,2800,2000,1600,1600,0,N/A
Nectandra longifolia,0,1400,1500,1800,1700,1600,N/A
Nectandra membranacea,2400,2200,2800,2100,2800,2200,0
Nectandra obtusata,2100,3100,1400,1000,500,0,N/A
Nectandra reticulata,2200,2300,2500,2500,3300,2100,N/A
Neea amplifolia,1800,N/A,N/A,N/A,200,0,N/A
Neea divaricata,1900,1800,1700,1400,900,700,N/A
Neea floribunda,1700,1300,400,600,1400,400,N/A
Neea macrophylla,1300,900,1000,800,1400,1800,N/A
Neea ovalifolia,100,700,1500,500,1800,1200,N/A
Neea parviflora,1700,800,500,700,800,N/A,N/A
Neea spruceana,1100,1000,1400,1300,1100,1000,N/A
Neea virens,900,500,1200,1400,800,0,N/A
Norantea guianensis,400,1900,1800,N/A,500,N/A,N/A
Notopleura macrophylla,2900,2700,2900,1900,2500,2700,N/A
Notopleura siggersiana,2900,1700,300,N/A,N/A,N/A,N/A
Ochroma pyramidale,2200,3200,1700,1500,3200,1200,N/A
Ocotea aciphylla,2300,2600,2800,2400,1900,1800,N/A
Ocotea arnottiana,0,0,400,1000,400,N/A,N/A
Ocotea benthamiana,600,900,1300,100,N/A,N/A,N/A
Ocotea bofo,1300,1200,1700,2300,1500,200,N/A
Ocotea cernua,1800,1700,2800,1500,2700,800,N/A
Ocotea costulata,2000,300,1000,300,1700,N/A,N/A
Ocotea floribunda,2500,2700,3000,1400,2500,1200,N/A
Ocotea guianensis,3300,3300,N/A,700,1300,700,N/A
Ocotea infrafoveolata,0,800,2400,N/A,N/A,N/A,N/A
Ocotea insularis,2200,2900,2100,1600,500,N/A,N/A
Ocotea javitensis,2300,1700,2100,1800,1800,N/A,0
Ocotea jelskii,200,0,N/A,0,1200,1100,N/A
Ocotea leucoxylon,2100,2400,1500,1300,1400,0,N/A
Ocotea longifolia,2300,2800,1400,1600,1800,1800,N/A
Ocotea micans,1800,200,N/A,0,N/A,N/A,N/A
Ocotea multinervis,200,300,0,N/A,N/A,N/A,N/A
Ocotea oblonga,3000,2400,2300,1800,1600,1300,N/A
Ocotea olivacea,100,0,1700,600,1200,500,N/A
Ocotea pacifica,0,2200,200,N/A,N/A,N/A,N/A
Ocotea pichinchensis,0,0,200,N/A,N/A,N/A,N/A
Ocotea puberula,2400,1900,1800,1300,2800,2800,500
Ocotea sericea,2200,2200,300,N/A,N/A,0,N/A
Ocotea smithiana,1600,1100,1000,N/A,N/A,N/A,N/A
Ocotea tessmannii,1800,1600,2000,1300,700,N/A,N/A
Oenocarpus bacaba,0,400,200,N/A,0,N/A,N/A
Oenocarpus bataua,700,900,1200,1200,1300,1000,N/A
Oenocarpus mapora,700,3500,900,900,1900,N/A,N/A
Oenocarpus minor,900,2300,400,100,200,0,N/A
Olmedia aspera,1600,3000,2100,2100,1500,1300,N/A
Oreopanax albanensis,1100,700,0,N/A,N/A,N/A,N/A
Oreopanax bogotensis,1900,1400,1500,N/A,N/A,N/A,N/A
Oreopanax capitatus,2600,3000,2300,1900,2200,0,N/A
Oreopanax incisus,1800,2200,1500,0,N/A,N/A,N/A
Oreopanax microflorous,0,N/A,2200,N/A,0,N/A,N/A
Oreopanax palamophyllus,400,1100,2100,N/A,N/A,N/A,N/A
Oreopanax seemannianus,0,1800,1400,N/A,N/A,N/A,N/A
Ossaea micrantha,2100,3500,1900,0,0,N/A,N/A
Osteophloeum platyspermum,600,700,1300,1100,1000,N/A,N/A
Otoba gordoniifolia,900,2100,2100,N/A,N/A,N/A,N/A
Otoba novogranatensis,1900,1700,1600,N/A,N/A,N/A,N/A
Otoba parvifolia,100,1600,1600,2400,1600,700,N/A
Ouratea amplifolia,1100,400,400,200,300,N/A,N/A
Ouratea pendula,500,400,300,500,200,0,N/A
Oxandra espintana,600,900,N/A,0,900,300,N/A
Oxandra polyantha,300,0,100,N/A,2000,N/A,N/A
Palicourea amethystina,1100,2700,2700,2300,2000,2100,N/A
Palicourea andaluciana,2500,1200,500,0,N/A,N/A,N/A
Palicourea andrei,0,1300,1700,100,0,N/A,N/A
Palicourea angustifolia,3200,2400,1900,400,N/A,N/A,N/A
Palicourea apicata,2100,2100,1400,N/A,300,N/A,N/A
Palicourea calophlebia,1400,1000,900,N/A,N/A,N/A,N/A
Palicourea demissa,2400,2700,2900,1400,N/A,N/A,N/A
Palicourea garciae,3200,3200,2200,400,300,N/A,N/A
Palicourea guianensis,2900,3400,2400,1600,1800,1600,N/A
Palicourea latifolia,1700,900,200,400,2100,N/A,N/A
Palicourea leuconeura,1600,1100,0,N/A,N/A,N/A,N/A
Palicourea luteonivea,0,2100,2300,1100,800,0,N/A
Palicourea lyristipula,2600,2400,2200,3000,400,N/A,N/A
Palicourea obovata,1600,1800,1800,1400,3200,N/A,N/A
Palicourea palenquensis,0,1900,1800,N/A,N/A,N/A,N/A
Palicourea pyramidalis,1300,2500,2300,N/A,N/A,N/A,N/A
Palicourea stipularis,2600,3100,2000,700,1500,1900,N/A
Palicourea sulphurea,2200,3200,400,2000,1400,N/A,N/A
Palicourea thyrsiflora,2800,2400,2800,2700,2500,2300,N/A
Palicourea weberbaueri,1200,2100,2300,1500,700,N/A,N/A
Panopsis metcalfii,700,700,800,N/A,N/A,N/A,N/A
Panopsis mucronata,1500,900,300,N/A,800,N/A,N/A
Panopsis polystachya,900,2100,900,0,N/A,N/A,N/A
Panopsis rubescens,1300,1300,2600,N/A,2300,0,N/A
Panopsis suaveolens,2800,800,0,N/A,0,N/A,N/A
Parathesis adenanthera,1100,900,1700,300,1500,1000,N/A
Passiflora arborea,1500,2600,1600,400,N/A,N/A,N/A
Passiflora macrophylla,1100,1700,1800,N/A,N/A,N/A,N/A
Paullinia capreolata,1900,1900,1800,1700,1100,200,N/A
Pausandra trianae,0,500,700,0,600,700,N/A
Peltogyne paniculata,1000,100,N/A,N/A,0,N/A,N/A
Pentacalia disciformis,0,1200,200,N/A,N/A,N/A,N/A
Pentacalia theifolia,2300,1300,1400,N/A,N/A,N/A,N/A
Pentagonia grandiflora,0,1500,100,N/A,N/A,N/A,N/A
Pentagonia macrophylla,2600,1200,1200,0,0,N/A,N/A
Peperomia elongata,900,2800,2100,0,1300,1000,N/A
Pera arborea,900,1300,N/A,N/A,0,N/A,N/A
Pera glabrata,1200,600,0,N/A,100,0,N/A
Perebea angustifolia,1700,1800,1200,1700,900,N/A,N/A
Perebea guianensis,1700,1200,1400,1100,1500,2000,N/A
Perebea xanthochyma,1900,1700,1400,800,1500,N/A,N/A
Perrottetia gentryi,300,N/A,N/A,0,1800,1100,N/A
Perrottetia sessiliflora,1900,1800,1800,400,1100,N/A,N/A
Persea americana,2500,2900,3100,1200,3300,2900,500
Persea areolatocostae,1700,2300,2400,1600,2600,1300,N/A
Persea caerulea,2100,2800,1900,1500,3100,2300,N/A
Persea cuneata,900,1700,400,0,100,N/A,N/A
Persea ferruginea,1900,200,700,100,200,N/A,N/A
Persea mutisii,1600,2000,1600,100,200,N/A,N/A
Persea pseudofasciculata,0,2000,1900,0,1600,1100,N/A
Persea rigens,2000,1700,1800,N/A,N/A,N/A,N/A
Persea subcordata,2300,400,1700,1000,2100,1500,N/A
Petrea pubescens,3700,900,600,0,100,N/A,N/A
Phenakospermum guyannense,0,1300,0,N/A,N/A,N/A,N/A
Pholidostachys dactyloides,1400,1000,700,N/A,N/A,N/A,N/A
Phyllanthus acuminatus,2000,1900,2600,1100,1200,1300,1500
Phyllanthus attenuatus,2600,2400,1800,N/A,1300,N/A,N/A
Phyllanthus brasiliensis,1500,300,3500,800,100,1200,N/A
Phytolacca dioica,0,700,2200,1500,0,1500,N/A
Picramnia latifolia,500,2400,1600,700,800,800,N/A
Picramnia sellowii,1100,1400,2300,1400,2800,2100,N/A
Pinus patula,1700,1400,700,N/A,N/A,1900,N/A
Axinaea macrophylla,1300,2300,2200,N/A,N/A,N/A,N/A
Axinaea scutigera,1100,1800,900,N/A,900,0,N/A
Baccharis brachylaenoides,2200,2300,2200,2500,2100,800,N/A
Baccharis latifolia,2400,3600,3200,2300,2800,3500,700
Baccharis oblongifolia,3000,2400,1900,1500,2200,1300,N/A
Bactris gasipaes,2000,2000,1400,1500,1300,200,N/A
Bactris maraja,800,600,1100,300,600,100,N/A
Bactris setulosa,2000,1600,1600,500,100,N/A,N/A
Banara glauca,1300,1400,0,N/A,N/A,N/A,N/A
Banara guianensis,1600,2900,2400,1800,2900,1500,N/A
Banara ibaguensis,300,200,2200,N/A,N/A,N/A,N/A
Barnadesia parviflora,1500,2300,1800,600,N/A,N/A,N/A
Batocarpus costaricensis,1100,N/A,700,600,1100,0,N/A
Bauhinia picta,2000,2300,N/A,N/A,400,100,N/A
Bauhinia tarapotensis,0,700,1400,300,900,N/A,N/A
Beilschmiedia alloiophylla,0,2100,1900,N/A,N/A,N/A,N/A
Beilschmiedia costaricensis,2200,2500,2200,1700,1900,0,N/A
Beilschmiedia latifolia,700,N/A,2000,100,2200,0,N/A
Beilschmiedia pendula,900,1200,1400,1500,400,N/A,N/A
Beilschmiedia sulcata,600,1200,1000,0,0,N/A,N/A
Beilschmiedia tovarensis,2300,2400,2200,900,2700,1600,N/A
Bejaria aestuans,3300,3400,2200,3300,2800,2400,900
Bejaria resinosa,2000,3300,1900,1300,0,N/A,N/A
Bellucia grossularioides,1800,1900,600,0,900,600,N/A
Bellucia pentamera,2200,1500,2400,900,2000,1300,N/A
Bertiera angustifolia,800,700,2200,0,900,N/A,N/A
Besleria formosa,2200,2600,1700,N/A,N/A,N/A,N/A
Billia rosea,3300,3700,2400,N/A,N/A,N/A,N/A
