species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25,num_of_regions
Geissanthus ecuadorensis,0,1600,2000,N/A,0,N/A,N/A,4
Geissanthus fragrans,600,0,N/A,N/A,N/A,N/A,N/A,2
Geissanthus longistamineus,700,2800,1700,N/A,2700,100,N/A,5
Geissanthus occidentalis,1800,2400,0,N/A,N/A,N/A,N/A,3
Genipa americana,1700,1500,2200,1300,1100,500,N/A,6
Geonoma deversa,1300,2500,1100,1600,1700,600,N/A,6
Geonoma orbignyana,3100,2200,2800,2100,2600,1900,N/A,6
Geonoma undata,2600,2900,3100,1300,2800,1700,N/A,6
Gloeospermum longifolium,1300,1700,2100,N/A,500,N/A,N/A,4
Gloeospermum sphaerocarpum,1900,1700,900,900,1000,N/A,N/A,5
Glossoloma tetragonoides,1700,2700,2700,800,300,N/A,N/A,5
Godmania aesculifolia,3100,300,N/A,N/A,0,0,N/A,4
Gonzalagunia cornifolia,3100,2400,1800,1200,1000,0,N/A,6
Gonzalagunia dicocca,1400,1600,900,0,N/A,N/A,N/A,4
Gordonia fruticosa,3000,3300,3100,1400,2100,2400,N/A,6
Gordonia robusta,1700,N/A,N/A,N/A,N/A,N/A,N/A,1
Goupia glabra,800,300,100,0,300,N/A,N/A,5
Graffenrieda cucullata,1300,2300,1400,2100,1500,1100,N/A,6
Graffenrieda emarginata,1700,200,1800,1700,2300,1700,N/A,6
Graffenrieda galeottii,1300,1300,1700,N/A,N/A,0,N/A,4
Graffenrieda gracilis,1600,1800,1000,1000,1200,1000,N/A,6
Graffenrieda intermedia,600,1000,1600,1300,0,200,N/A,6
Graffenrieda latifolia,2100,0,N/A,N/A,N/A,N/A,N/A,2
Graffenrieda micrantha,300,N/A,N/A,N/A,N/A,N/A,N/A,1
Graffenrieda santamartensis,700,N/A,N/A,N/A,N/A,N/A,N/A,1
Grias haughtii,500,1200,N/A,N/A,N/A,N/A,N/A,2
Guapira costaricana,1500,1700,N/A,N/A,N/A,N/A,N/A,2
Guapira pubescens,1100,N/A,N/A,N/A,N/A,N/A,N/A,1
Guarea cartaguenya,100,1600,800,N/A,N/A,N/A,N/A,3
Guarea glabra,2100,1900,1900,1700,1000,N/A,N/A,5
Guarea grandifolia,2200,2300,1400,1100,600,0,N/A,6
Guarea guidonia,2200,1900,1800,1300,1800,1400,N/A,6
Guarea kunthiana,3000,2900,2600,2300,2700,2100,N/A,6
Guarea macrophylla,1100,1700,1200,2400,2300,2100,N/A,6
Guarea pterorhachis,800,800,1700,1500,1400,1200,N/A,6
Guarea purusana,0,1800,1700,300,500,1000,N/A,6
Guarea pyriformis,400,900,N/A,0,N/A,N/A,N/A,3
Guarea silvatica,0,1200,1400,N/A,500,N/A,N/A,4
Guatteria aberrans,800,N/A,N/A,N/A,N/A,N/A,N/A,1
Guatteria amplifolia,1800,2500,N/A,N/A,N/A,N/A,N/A,2
Guatteria asplundiana,1900,N/A,1800,N/A,N/A,N/A,N/A,2
Guatteria blepharophylla,1700,1600,1500,700,1800,1900,N/A,6
Guatteria cargadero,2200,1700,0,N/A,N/A,N/A,N/A,3
Guatteria cestrifolia,1700,200,N/A,N/A,N/A,N/A,N/A,2
Guatteria columbiana,1700,N/A,N/A,N/A,N/A,N/A,N/A,1
Guatteria glauca,1600,500,1100,1700,2700,700,N/A,6
Guatteria goudotiana,2300,2100,800,N/A,N/A,N/A,N/A,3
Guatteria hirsuta,2100,1800,1900,1600,1900,1900,N/A,6
Guatteria hyposericea,0,200,N/A,N/A,100,N/A,N/A,3
Guatteria laurina,1800,N/A,N/A,N/A,N/A,N/A,N/A,1
Guatteria megalophylla,1000,1300,2000,800,600,N/A,N/A,5
Guatteria pittieri,1700,1700,500,N/A,N/A,N/A,N/A,3
Guatteria punctata,2100,1700,2100,1800,2200,1900,N/A,6
Guatteria recurvisepala,1700,900,2600,N/A,0,N/A,N/A,4
Guatteria schomburgkiana,600,700,500,N/A,100,100,N/A,5
Guazuma ulmifolia,3400,1400,1300,1400,2600,2700,N/A,6
Guettarda aromatica,1800,500,700,500,1800,0,N/A,6
Guettarda crispiflora,2600,3200,2600,1100,2800,1400,N/A,6
Guettarda dependens,800,2000,2300,600,2700,1500,N/A,6
Guettarda malacophylla,400,0,N/A,N/A,N/A,N/A,N/A,2
Guettarda roupalifolia,1700,0,N/A,N/A,0,N/A,N/A,3
Guettarda sanblasensis,0,500,600,N/A,N/A,N/A,N/A,3
Guettarda tournefortiopsis,1300,1900,0,300,1800,600,N/A,6
Gustavia dubia,800,N/A,N/A,N/A,N/A,N/A,N/A,1
Gustavia hexapetala,900,1500,700,100,300,N/A,N/A,5
Gustavia nana,500,0,N/A,N/A,N/A,N/A,N/A,2
Gustavia poeppigiana,300,900,200,N/A,0,N/A,N/A,4
Gustavia romeroi,700,0,N/A,N/A,N/A,N/A,N/A,2
Gustavia speciosa,1300,900,200,N/A,N/A,N/A,N/A,3
Gustavia superba,1500,1700,N/A,N/A,0,N/A,N/A,3
Gyrocarpus americanus,1200,N/A,N/A,N/A,N/A,N/A,N/A,1
Handroanthus chrysanthus,2300,1600,2300,1800,900,N/A,0,6
Handroanthus impetiginosus,1100,0,0,200,1000,1600,1000,7
Handroanthus obscurus,100,200,200,N/A,0,N/A,N/A,4
Handroanthus ochraceus,2100,1300,0,1300,1300,1100,600,7
Handroanthus serratifolius,700,1000,700,700,1100,1100,N/A,6
Hasseltia floribunda,2000,2400,2100,1800,1600,1700,N/A,6
Hasseltia lateriflora,500,200,0,N/A,N/A,N/A,N/A,3
Haydenoxylon gentryi,1700,1800,1400,N/A,N/A,N/A,N/A,3
Hebeclinium phoenicticum,1400,1400,N/A,N/A,N/A,N/A,N/A,2
Hebepetalum humiriifolium,0,400,400,500,800,N/A,N/A,5
Hedyosmum angustifolium,100,0,1700,2500,2700,2000,N/A,6
Hedyosmum bonplandianum,2800,2500,N/A,N/A,N/A,N/A,N/A,2
Hedyosmum crenatum,1600,2100,N/A,N/A,N/A,N/A,N/A,2
Hedyosmum cuatrecazanum,1700,3100,1600,1000,2800,700,N/A,6
Hedyosmum cumbalense,1800,3200,1000,1200,2100,N/A,N/A,5
Hedyosmum gentryi,1100,200,N/A,N/A,N/A,N/A,N/A,2
Hedyosmum goudotianum,2300,2700,1800,1000,800,N/A,N/A,5
Hedyosmum luteynii,0,3100,2200,N/A,N/A,N/A,N/A,3
Hedyosmum maximum,0,N/A,N/A,N/A,500,1800,N/A,3
Hedyosmum parvifolium,1100,800,N/A,N/A,N/A,N/A,N/A,2
Hedyosmum racemosum,3000,3300,2400,2100,3100,3000,N/A,6
Hedyosmum scaberrimum,1800,1900,0,N/A,N/A,N/A,N/A,3
Hedyosmum scabrum,0,1300,2100,2000,1200,2400,N/A,6
Hedyosmum sprucei,600,1700,2700,1500,2100,N/A,N/A,5
Hedyosmum translucidum,1600,1900,1200,1100,300,N/A,N/A,5
Heisteria acuminata,3100,1800,2100,1900,1500,900,N/A,6
Heisteria latifolia,1200,600,1600,N/A,N/A,N/A,N/A,3
Heisteria nitida,0,1200,1200,1500,1100,1100,N/A,6
Heliconia nigripraefixa,900,600,900,N/A,N/A,N/A,N/A,3
Helicostylis scabra,0,200,900,0,700,0,0,7
Helicostylis tomentosa,1100,2400,1600,600,2100,1800,N/A,6
Helicostylis tovarensis,1700,1800,1900,800,2000,1300,N/A,6
Helicteres baruensis,1900,1200,N/A,N/A,N/A,N/A,N/A,2
Heliocarpus americanus,2900,2600,2500,2100,2500,1900,400,7
Henriettea fissanthera,1700,100,0,N/A,0,N/A,N/A,4
Henriettea trachyphylla,1700,1600,N/A,N/A,N/A,N/A,N/A,2
Henriettea verrucosa,1400,1100,1000,0,0,0,N/A,6
Hernandia didymantha,0,300,N/A,N/A,N/A,N/A,N/A,2
Herrania balaensis,0,700,700,N/A,N/A,N/A,N/A,3
Herrania laciniifolia,300,N/A,N/A,N/A,N/A,N/A,N/A,1
Herrania purpurea,200,N/A,0,N/A,N/A,N/A,N/A,2
Hesperomeles ferruginea,2100,3700,1900,2500,1700,1900,N/A,6
Hesperomeles goudotiana,1200,1400,N/A,N/A,N/A,N/A,N/A,2
Hesperomeles obtusifolia,3400,2300,2300,1900,2100,1500,N/A,6
Heteropterys laurifolia,300,N/A,N/A,N/A,1600,1100,N/A,3
Hevea guianensis,3000,800,1000,900,1200,500,N/A,6
Hieronyma alchorneoides,2400,2000,2200,2100,2400,2000,N/A,6
Hieronyma antioquensis,800,500,N/A,N/A,N/A,N/A,N/A,2
Hieronyma asperifolia,500,1700,2000,700,1600,N/A,N/A,5
Hieronyma duquei,1200,2500,2400,800,1600,300,N/A,6
Hieronyma fendleri,3000,2400,1900,500,2200,1800,N/A,6
Hieronyma huilensis,2500,1900,N/A,N/A,N/A,N/A,N/A,2
Hieronyma macrocarpa,1100,2500,1900,0,2000,N/A,N/A,5
Hieronyma oblonga,2600,2500,2100,2000,2800,2100,N/A,6
Hieronyma rufa,400,500,N/A,N/A,N/A,N/A,N/A,2
Hieronyma scabrida,1300,1200,1300,N/A,500,N/A,N/A,4
Hillia parasitica,1500,2200,1600,500,2000,2400,N/A,6
Himatanthus articulatus,1100,800,1200,500,800,600,N/A,6
Hippotis albiflora,1800,1400,800,0,N/A,N/A,N/A,4
Hippotis brevipes,1800,1700,2100,1500,0,N/A,N/A,5
Hirtella bicornis,400,700,800,300,900,0,N/A,6
Hirtella eriandra,0,0,400,0,600,N/A,N/A,5
Hirtella mutisii,1600,400,1100,N/A,N/A,N/A,N/A,3
Hirtella pilosissima,0,0,300,100,1300,300,N/A,6
Hirtella racemosa,700,800,1300,400,800,1300,N/A,6
Hirtella triandra,1300,400,1100,400,1600,2500,N/A,6
Hirtella tubiflora,1000,500,N/A,0,N/A,N/A,N/A,3
Hoffmannia longipetiolata,2400,2500,1900,0,N/A,N/A,N/A,4
Hortia brasiliana,1200,200,500,N/A,0,N/A,N/A,4
Huberodendron patinoi,1000,400,N/A,N/A,N/A,N/A,N/A,2
Huertea glandulosa,0,1500,2300,2300,2300,N/A,N/A,5
Huertea granadina,1000,N/A,N/A,N/A,N/A,N/A,N/A,1
Humiriastrum colombianum,500,0,N/A,N/A,N/A,N/A,N/A,2
Hura crepitans,1500,1700,800,1800,2700,500,N/A,6
Hymenaea courbaril,1400,1900,600,N/A,1100,1000,N/A,5
Hymenaea oblongifolia,300,1100,400,700,500,N/A,N/A,5
Hymenopus heteromorphus,1000,1000,1400,0,1300,N/A,N/A,5
Hyospathe elegans,1500,1700,2700,1600,1900,400,N/A,6
Hyptidendron arboreum,1500,N/A,300,0,1600,300,N/A,5
Ilex andicola,0,500,1600,N/A,1600,800,N/A,5
Ilex colombiana,0,400,N/A,N/A,N/A,0,N/A,3
Ilex danielis,1100,600,N/A,400,N/A,N/A,N/A,3
Ilex goudotii,900,N/A,N/A,N/A,1200,600,N/A,3
Ilex guayusa,500,1700,2800,100,1900,0,N/A,6
Ilex karstenii,400,0,N/A,300,0,N/A,N/A,4
Ilex laurina,2700,1500,1500,2000,2600,0,N/A,6
Ilex myricoides,1600,900,1200,N/A,700,100,N/A,5
Ilex nervosa,1900,1100,1500,1600,1900,700,N/A,6
Ilex pernervata,1900,1500,N/A,N/A,N/A,N/A,N/A,2
Ilex pustulosa,500,N/A,N/A,0,N/A,N/A,N/A,2
Ilex sessiliflora,500,N/A,N/A,N/A,1100,500,N/A,3
Inga acreana,1100,2200,2000,1600,2200,1100,N/A,6
Inga acrocephala,2500,2000,1300,1500,2000,N/A,N/A,5
Inga acuminata,2000,2400,1100,N/A,300,N/A,N/A,4
Inga alba,1400,900,1500,700,1700,1200,N/A,6
Inga bourgonii,600,1200,1500,900,2000,1000,N/A,6
Inga capitata,400,1500,1400,1900,2600,1000,N/A,6
Inga chartacea,1000,1300,1400,300,2100,300,N/A,6
Inga cinnamomea,1100,1600,1000,0,600,600,N/A,6
Inga cocleensis,2100,2800,0,N/A,N/A,N/A,N/A,3
Inga coruscans,1800,2400,1800,100,1600,300,N/A,6
Inga densiflora,2500,3400,2400,1400,200,200,N/A,6
Inga edulis,2000,2200,2600,1500,1700,1000,400,7
Inga fendleriana,1600,0,900,N/A,1400,1200,N/A,5
Inga heterophylla,1400,1100,800,1200,1800,1300,N/A,6
Inga lallensis,1100,2200,2900,N/A,200,N/A,N/A,4
Inga laurina,2100,1700,2000,0,1400,1200,0,7
Inga lopadadenia,500,1000,400,900,1100,0,N/A,6
Inga macrophylla,1600,1200,900,300,1800,1100,0,7
Inga marginata,2600,2400,2300,2200,2700,1900,1400,7
Inga mucuna,2300,0,N/A,N/A,N/A,N/A,N/A,2
Inga multijuga,2100,2000,1800,N/A,1300,N/A,N/A,4
Inga multinervis,0,1600,1300,0,1300,0,N/A,6
Inga nobilis,2400,2400,2000,2000,2100,2200,N/A,6
Inga oerstediana,2200,2100,2400,1600,2000,1400,N/A,6
Inga pezizifera,1700,1600,800,N/A,1600,300,N/A,5
Inga pruriens,0,0,700,0,200,N/A,N/A,5
Inga punctata,2700,2900,1800,1900,2700,1300,N/A,6
Inga ruiziana,2000,1700,3000,2000,1600,1300,N/A,6
Inga sapindoides,2300,2200,1900,600,1900,1000,N/A,6
Inga sertulifera,1300,1600,1300,0,1000,N/A,N/A,5
Inga setosa,1500,200,100,N/A,2000,1800,N/A,5
Inga sierrae,1600,900,0,N/A,N/A,N/A,N/A,3
Inga spectabilis,1700,1400,2100,0,1800,0,N/A,6
Inga stenoptera,2200,1500,1200,2700,1100,200,N/A,6
Inga striata,1400,800,2700,1700,2100,2400,N/A,6
Inga thibaudiana,1300,1100,1000,1000,1800,1100,N/A,6
Inga tomentosa,0,0,0,0,2200,1300,N/A,6
Inga umbellifera,2700,1500,900,400,1600,1500,N/A,6
Inga velutina,1900,1800,1800,N/A,1500,400,N/A,5
Inga venusta,1700,1600,800,0,300,N/A,N/A,5
Inga vera,2200,3000,2600,0,1800,N/A,N/A,5
Inga villosissima,1700,1000,2000,N/A,N/A,0,N/A,4
Iriartea deltoidea,1200,2600,1800,1200,1300,1200,N/A,6
Iryanthera hostmannii,800,500,300,N/A,N/A,N/A,N/A,3
Iryanthera juruensis,100,800,1000,500,1300,600,N/A,6
Iryanthera paraensis,200,400,300,1000,1700,N/A,N/A,5
Iryanthera ulei,1100,200,600,200,1200,0,N/A,6
Isertia laevis,2100,1900,2400,1400,1900,900,N/A,6
Isidodendron tripterocarpum,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Jacaranda caucana,2000,3000,N/A,N/A,N/A,N/A,N/A,2
Jacaranda copaia,1300,1100,1700,2300,1100,500,N/A,6
Jacaranda glabra,0,600,800,800,2400,1400,N/A,6
Jacaranda hesperia,1100,800,0,N/A,N/A,N/A,N/A,3
Jacaranda mimosifolia,600,300,1400,N/A,1200,1800,1500,6
Jacaranda obtusifolia,700,1000,200,N/A,100,N/A,N/A,4
Jacaratia chocoensis,0,0,N/A,N/A,600,N/A,N/A,3
Jacaratia digitata,600,1500,1500,700,1200,2100,N/A,6
Joosia umbellifera,900,1900,2000,100,0,0,N/A,6
Juglans neotropica,2700,2900,2000,1100,2900,700,N/A,6
Klarobelia anomala,300,N/A,N/A,N/A,0,N/A,N/A,2
Lacistema aggregatum,2000,1900,1900,1300,1700,1600,0,7
Lacistema nena,0,900,1100,600,800,900,N/A,6
Lacmellea edulis,1400,1400,1600,0,600,N/A,N/A,5
Lacunaria crenata,900,1300,200,N/A,N/A,N/A,N/A,3
Ladenbergia macrocarpa,2800,2700,1700,400,900,0,N/A,6
Ladenbergia macrophylla,200,0,N/A,N/A,N/A,N/A,N/A,2
Ladenbergia magdalenae,1500,N/A,N/A,N/A,N/A,N/A,N/A,1
Ladenbergia moritziana,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Ladenbergia muzonensis,1700,1900,1300,1000,0,N/A,N/A,5
Ladenbergia oblongifolia,3100,2300,2600,1900,1900,2300,N/A,6
Lafoensia acuminata,2100,2500,2100,2000,1000,0,N/A,6
Lecointea amazonica,1000,0,0,N/A,700,N/A,N/A,4
Lecythis ampla,800,1400,0,N/A,N/A,N/A,N/A,3
Lecythis mesophylla,800,N/A,N/A,N/A,N/A,N/A,N/A,1
Lecythis minor,200,0,N/A,N/A,N/A,N/A,N/A,2
Lecythis tuyrana,500,200,N/A,N/A,N/A,N/A,N/A,2
Leonia glycycarpa,1400,900,1900,1500,1400,700,N/A,6
Leonia occidentalis,500,100,900,N/A,N/A,N/A,N/A,3
Leonia triandra,2800,600,0,N/A,N/A,N/A,N/A,3
Leucaena trichodes,200,3100,2200,1500,1700,N/A,N/A,5
Licania canescens,200,500,400,400,100,0,N/A,6
Licania harlingii,0,600,900,400,600,0,N/A,6
Licania hypoleuca,800,800,700,200,900,N/A,N/A,5
Licania micrantha,800,1200,100,900,700,300,N/A,6
Licania octandra,0,300,800,300,300,N/A,N/A,5
Licaria applanata,1700,1300,1900,N/A,N/A,N/A,N/A,3
Licaria canella,1800,1500,2700,2000,1400,1200,N/A,6
Licaria cannella,1800,1500,2700,2000,1400,1200,N/A,6
Licaria triandra,2100,1400,1800,900,1200,800,N/A,6
Ligustrum lucidum,0,400,N/A,N/A,N/A,3200,N/A,3
Lindackeria laurina,1000,500,N/A,N/A,N/A,N/A,N/A,2
Lindackeria paludosa,1800,1400,600,400,500,N/A,N/A,5
Lippia americana,1200,0,0,0,N/A,N/A,N/A,4
Lippia hirsuta,3200,2600,0,N/A,N/A,N/A,N/A,3
Lonchocarpus macrophyllus,1400,800,N/A,N/A,N/A,N/A,N/A,2
Lonchocarpus sericeus,1200,400,N/A,0,N/A,N/A,N/A,3
Lonchocarpus velutinus,2000,N/A,N/A,N/A,N/A,N/A,N/A,1
Lozanella enantiophylla,2400,1100,2200,1200,1400,800,N/A,6
Lozania mutisiana,2700,2300,1600,1200,500,N/A,N/A,5
Luehea seemannii,2100,1000,100,N/A,0,0,N/A,5
Lunania parviflora,1700,500,900,2300,800,1700,N/A,6
Lycianthes inaequilatera,2200,2500,2900,1300,2100,1500,N/A,6
Lycianthes pauciflora,2200,1900,2000,2200,2200,1700,N/A,6
Mabea occidentalis,2000,1500,400,N/A,300,N/A,N/A,4
Mabea trianae,600,1500,N/A,N/A,N/A,N/A,N/A,2
Machaerium acutifolium,0,N/A,N/A,N/A,1500,1400,N/A,3
Machaerium biovulatum,1300,0,N/A,N/A,300,N/A,N/A,3
Machaerium capote,1100,900,N/A,N/A,N/A,N/A,N/A,2
Machaerium floribundum,900,700,400,200,1400,N/A,N/A,5
Machaerium hirtum,500,0,N/A,N/A,1600,1800,N/A,4
Machaerium lanceolatum,600,N/A,N/A,N/A,N/A,N/A,N/A,1
Machaerium moritzianum,1200,N/A,N/A,N/A,N/A,N/A,N/A,1
Machaerium mutisii,0,0,600,0,0,N/A,N/A,5
Macleania rupestris,2900,3600,3400,1100,1700,0,N/A,6
Maclura tinctoria,3100,2900,2300,1500,3600,1300,1600,7
Macrocarpaea glabra,1900,1400,N/A,N/A,N/A,N/A,N/A,2
Macrocarpaea macrophylla,3100,2200,N/A,N/A,N/A,N/A,N/A,2
Macrocnemum grandiflorum,300,0,N/A,N/A,N/A,N/A,N/A,2
Macrocnemum roseum,2100,1900,1800,2400,2100,1400,N/A,6
Macrohasseltia macroterantha,400,N/A,N/A,N/A,N/A,N/A,N/A,1
Macrolobium colombianum,1600,2000,700,N/A,N/A,N/A,N/A,3
Macrolobium gracile,100,900,1500,500,700,N/A,N/A,5
Macrolobium pittieri,500,N/A,N/A,N/A,N/A,N/A,N/A,1
Magnolia cespedesii,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Magnolia chimantensis,300,N/A,N/A,N/A,N/A,N/A,N/A,1
Magnolia espinalii,700,N/A,N/A,N/A,N/A,N/A,N/A,1
Magnolia silvioi,900,N/A,N/A,N/A,N/A,N/A,N/A,1
Magnolia urraoensis,1100,N/A,N/A,N/A,N/A,N/A,N/A,1
Magnolia yarumalensis,2400,N/A,N/A,N/A,N/A,N/A,N/A,1
Malmea dimera,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Malouetia guatemalensis,500,N/A,N/A,N/A,N/A,N/A,N/A,1
Malpighia glabra,2000,1300,1600,200,N/A,N/A,N/A,4
Manilkara bidentata,1700,800,700,1800,1300,N/A,N/A,5
Manilkara chicle,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Maprounea guianensis,1200,1200,1100,700,1200,1000,N/A,6
Maquira calophylla,0,800,2100,300,700,0,N/A,6
Maquira guianensis,900,2400,2700,N/A,800,0,N/A,5
Marcgraviastrum macrocarpum,1600,200,0,0,1500,N/A,N/A,5
Margaritaria nobilis,2600,2100,2000,1000,1400,1300,N/A,6
Marila geminata,600,N/A,N/A,N/A,N/A,N/A,N/A,1
Marila laxiflora,600,1800,1000,2300,1200,1000,N/A,6
Marila podantha,1000,600,200,N/A,0,N/A,N/A,4
Matayba adenanthera,1200,100,200,N/A,N/A,N/A,N/A,3
Matayba arborescens,2300,700,400,200,1300,300,0,7
Matayba camptoneura,1700,0,0,N/A,N/A,N/A,N/A,3
Matayba elegans,2400,1900,100,0,0,N/A,N/A,5
Matayba guianensis,1900,1400,0,N/A,1600,900,N/A,5
Matayba peruviana,0,1300,0,1700,1500,N/A,N/A,5
Matayba purgans,500,1600,1400,200,300,N/A,N/A,5
Matayba scrobiculata,600,400,N/A,N/A,300,200,N/A,4
Matisia castano,200,1600,900,N/A,N/A,N/A,N/A,3
Matisia cornu-copiae,0,1900,0,N/A,N/A,N/A,N/A,3
Matisia floccosa,700,1800,0,N/A,N/A,N/A,N/A,3
Matisia idroboi,0,1700,1300,N/A,N/A,N/A,N/A,3
Matudaea colombiana,1000,200,N/A,N/A,N/A,N/A,N/A,2
Mauria ferruginea,2400,2600,N/A,1600,2500,0,N/A,5
Mauria heterophylla,2000,2900,2800,3000,2800,1500,0,7
Mauria simplicifolia,0,2500,2900,3000,N/A,N/A,N/A,4
Mauritia flexuosa,2000,500,1000,300,200,0,N/A,6
Mayna grandifolia,800,0,200,1400,0,N/A,N/A,5
Mayna odorata,1300,1400,1100,1700,1400,1300,N/A,6
Mayna suaveolens,0,200,N/A,N/A,N/A,N/A,N/A,2
Maytenus longipes,700,N/A,N/A,N/A,N/A,N/A,N/A,1
Maytenus verticillata,1300,1100,1500,1200,2300,1600,0,7
Melicoccus bijugatus,1500,700,N/A,N/A,N/A,N/A,N/A,2
Melicoccus oliviformis,300,100,100,0,N/A,N/A,N/A,4
Meliosma bogotana,800,1300,500,N/A,0,N/A,N/A,4
Meliosma echeverryana,1300,500,0,0,N/A,N/A,N/A,4
Meliosma frondosa,1400,1600,2900,2000,2700,800,N/A,6
Meliosma glossophylla,500,100,1100,1100,1700,0,N/A,6
Meliosma occidentalis,1900,1900,400,N/A,N/A,N/A,N/A,3
Annona edulis,1000,1500,1500,N/A,200,N/A,N/A,4
Annona hypoglauca,0,500,400,100,200,0,N/A,6
Annona jahnii,500,400,0,N/A,N/A,N/A,N/A,3
Annona montana,1100,1400,1700,200,800,300,N/A,6
Annona mucosa,1800,1900,1800,1300,2500,1900,N/A,6
Annona muricata,3400,2800,1200,1000,1100,2000,N/A,6
Annona papilionella,1300,1700,1700,700,1300,1300,N/A,6
Annona quinduensis,2400,1900,500,N/A,N/A,N/A,N/A,3
Annona rensoniana,1800,1200,0,N/A,N/A,N/A,N/A,3
Aparisthmium cordatum,1000,1400,2000,1000,1700,1200,N/A,6
Apeiba glabra,1000,1000,1100,200,800,0,N/A,6
Apeiba membranacea,1000,800,1100,600,900,500,N/A,6
Apeiba tibourbou,800,500,600,200,800,600,N/A,6
Aphelandra glabrata,1900,900,0,300,900,1000,N/A,6
Aphelandra lasiophylla,300,N/A,N/A,N/A,N/A,N/A,N/A,1
Aphelandra pulcherrima,1200,1000,0,0,0,N/A,N/A,5
Aphelandra runcinata,2700,2000,N/A,N/A,N/A,N/A,N/A,2
Aphelandra scolnikiae,700,N/A,N/A,N/A,N/A,N/A,N/A,1
Aptandra tubicina,800,500,200,100,0,N/A,N/A,5
Arachnothryx colombiana,2300,700,N/A,N/A,N/A,N/A,N/A,2
Aralia excelsa,500,0,N/A,N/A,N/A,0,N/A,3
Ardisia foetida,3000,2400,2600,N/A,N/A,N/A,N/A,3
Ardisia guianensis,2300,2100,1100,900,800,500,N/A,6
Aspidosperma cruentum,100,0,N/A,N/A,N/A,N/A,N/A,2
Aspidosperma cuspa,600,900,N/A,0,N/A,N/A,N/A,3
Aspidosperma desmanthum,1900,1200,1500,300,600,N/A,N/A,5
Aspidosperma excelsum,700,1600,400,700,1000,500,N/A,6
Aspidosperma megalocarpon,900,1200,0,0,N/A,N/A,N/A,4
Aspidosperma parvifolium,1600,N/A,0,1100,1000,0,N/A,5
Aspidosperma polyneuron,400,300,100,2200,N/A,0,N/A,5
Aspidosperma spruceanum,1200,1400,600,400,700,800,N/A,6
Astrocaryum malybo,2000,N/A,N/A,N/A,N/A,N/A,N/A,1
Astrocaryum triandrum,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Astronium graveolens,1400,1500,600,900,1100,700,N/A,6
Astronium lecointei,500,200,N/A,0,1300,100,N/A,5
Meliosma schlimii,0,300,0,0,1300,N/A,N/A,5
Meliosma vasquezii,0,500,1400,0,1300,1700,N/A,6
Meliosma violacea,2200,2000,N/A,N/A,N/A,N/A,N/A,2
Meriania albertiae,1300,N/A,N/A,N/A,N/A,N/A,N/A,1
Meriania brachycera,1400,2100,N/A,N/A,N/A,N/A,N/A,2
Meriania grandidens,2100,400,N/A,N/A,N/A,N/A,N/A,2
Meriania longifolia,2500,1600,N/A,N/A,N/A,N/A,N/A,2
Meriania mutisii,300,700,N/A,N/A,N/A,N/A,N/A,2
Meriania nobilis,2800,800,N/A,N/A,N/A,N/A,N/A,2
Meriania quintuplinervis,1600,700,N/A,N/A,N/A,N/A,N/A,2
Meriania tomentosa,1000,2100,1900,900,1100,500,N/A,6
Miconia acanthocoryne,1300,N/A,N/A,N/A,N/A,N/A,N/A,1
Miconia acutifolia,300,500,200,N/A,N/A,100,N/A,4
Miconia adinantha,400,N/A,N/A,0,700,N/A,N/A,3
Miconia affinis,2200,3000,1900,600,1500,2000,N/A,6
Miconia albicans,1900,1700,100,800,2000,1600,N/A,6
Miconia alternans,1600,600,200,0,0,900,N/A,6
Miconia aponeura,2900,1100,200,N/A,N/A,N/A,N/A,3
Miconia asperrima,1200,2100,1100,300,N/A,N/A,N/A,4
Miconia astroplocama,1000,300,1800,1800,1800,N/A,N/A,5
Miconia biappendiculata,1000,3100,N/A,N/A,400,N/A,N/A,3
Miconia biglandulosa,2800,900,700,0,300,N/A,N/A,5
Miconia brachycalyx,2100,3000,1200,N/A,N/A,N/A,N/A,3
Miconia bracteolata,2300,1200,1700,400,200,N/A,N/A,5
Miconia brevitheca,1800,3300,2000,N/A,N/A,N/A,N/A,3
Miconia caesia,2400,1400,N/A,N/A,N/A,N/A,N/A,2
Miconia calophylla,0,0,500,N/A,600,N/A,N/A,4
Miconia calvescens,1700,1300,3100,1700,2400,1800,900,7
Miconia caudata,2600,2500,N/A,N/A,N/A,0,N/A,3
Miconia centrodesma,2100,3600,1100,500,2300,700,N/A,6
Miconia chlorocarpa,1100,1200,0,N/A,N/A,N/A,N/A,3
Miconia chrysophylla,700,500,500,900,1700,1800,N/A,6
Miconia cladonia,1600,1800,1400,N/A,N/A,N/A,N/A,3
Miconia clathrantha,0,900,2000,400,200,0,N/A,6
Miconia costaricensis,1700,700,N/A,N/A,N/A,N/A,N/A,2
Miconia crassinervia,800,300,N/A,N/A,0,N/A,N/A,3
Miconia cundinamarcensis,1500,1200,N/A,N/A,N/A,N/A,N/A,2
