species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25,num_of_regions
Guatteria pittieri,400,1000,0,N/A,N/A,N/A,N/A,3
Guatteria punctata,1900,1300,2000,1800,2200,1900,N/A,6
Guatteria recurvisepala,1300,N/A,1400,N/A,N/A,N/A,N/A,2
Guatteria schomburgkiana,0,700,500,N/A,100,0,N/A,5
Guazuma ulmifolia,3400,1200,1200,1400,2600,2700,N/A,6
Guettarda aromatica,0,0,600,500,1800,0,N/A,6
Guettarda crispiflora,1500,2600,1800,1100,2800,1400,N/A,6
Guettarda dependens,700,600,1100,600,2700,1500,N/A,6
Guettarda malacophylla,400,N/A,N/A,N/A,N/A,N/A,N/A,1
Guettarda roupalifolia,0,N/A,N/A,N/A,0,N/A,N/A,2
Guettarda tournefortiopsis,0,0,N/A,300,1800,600,N/A,5
Gustavia dubia,400,N/A,N/A,N/A,N/A,N/A,N/A,1
Gustavia hexapetala,900,700,700,100,100,N/A,N/A,5
Gustavia nana,500,N/A,N/A,N/A,N/A,N/A,N/A,1
Gustavia poeppigiana,100,900,N/A,N/A,0,N/A,N/A,3
Gustavia romeroi,700,N/A,N/A,N/A,N/A,N/A,N/A,1
Gustavia speciosa,1300,0,200,N/A,N/A,N/A,N/A,3
Gustavia superba,1500,1700,N/A,N/A,N/A,N/A,N/A,2
Gyrocarpus americanus,1100,N/A,N/A,N/A,N/A,N/A,N/A,1
Handroanthus chrysanthus,1900,1100,2000,1800,800,N/A,0,6
Handroanthus impetiginosus,0,0,0,200,1000,1600,1000,7
Handroanthus ochraceus,1200,1300,0,1300,1300,1100,600,7
Handroanthus serratifolius,200,0,0,700,1100,1100,N/A,6
Hasseltia floribunda,2000,2300,2100,1800,1600,1700,N/A,6
Hasseltia lateriflora,0,0,0,N/A,N/A,N/A,N/A,3
Hebeclinium phoenicticum,600,600,N/A,N/A,N/A,N/A,N/A,2
Hebepetalum humiriifolium,0,300,400,500,800,N/A,N/A,5
Hedyosmum angustifolium,0,N/A,1200,2500,2700,2000,N/A,5
Hedyosmum bonplandianum,2100,2200,N/A,N/A,N/A,N/A,N/A,2
Hedyosmum crenatum,1400,200,N/A,N/A,N/A,N/A,N/A,2
Hedyosmum cuatrecazanum,1700,1400,1600,1000,2800,700,N/A,6
Hedyosmum cumbalense,1800,1000,1000,1200,2100,N/A,N/A,5
Hedyosmum gentryi,700,0,N/A,N/A,N/A,N/A,N/A,2
Hedyosmum goudotianum,2200,1600,1600,1000,800,N/A,N/A,5
Hedyosmum maximum,0,N/A,N/A,N/A,500,1800,N/A,3
Hedyosmum parvifolium,400,700,N/A,N/A,N/A,N/A,N/A,2
Hedyosmum racemosum,2700,2800,2400,2100,2700,3000,N/A,6
Hedyosmum scaberrimum,1500,700,0,N/A,N/A,N/A,N/A,3
Hedyosmum sprucei,0,1700,2700,1500,800,N/A,N/A,5
Hedyosmum translucidum,1500,1600,1100,1100,300,N/A,N/A,5
Heisteria acuminata,1400,1700,2100,1900,1500,900,N/A,6
Heisteria latifolia,0,0,800,N/A,N/A,N/A,N/A,3
Heliconia nigripraefixa,100,200,500,N/A,N/A,N/A,N/A,3
Helicostylis scabra,0,200,900,0,500,N/A,0,6
Helicostylis tomentosa,1100,1300,1600,600,1900,1800,N/A,6
Helicostylis tovarensis,1700,1300,1700,800,1000,1300,N/A,6
Helicteres baruensis,1000,1200,N/A,N/A,N/A,N/A,N/A,2
Heliocarpus americanus,2800,2200,2100,2100,2500,1900,400,7
Henriettea fissanthera,500,N/A,N/A,N/A,N/A,N/A,N/A,1
Henriettea trachyphylla,1200,1300,N/A,N/A,N/A,N/A,N/A,2
Henriettea verrucosa,0,1100,800,0,0,0,N/A,6
Herrania balaensis,0,600,200,N/A,N/A,N/A,N/A,3
Herrania laciniifolia,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Herrania purpurea,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Hesperomeles ferruginea,2100,1300,1900,2500,1700,1900,N/A,6
Hesperomeles goudotiana,700,1400,N/A,N/A,N/A,N/A,N/A,2
Hesperomeles obtusifolia,1700,2000,2300,1900,2100,1500,N/A,6
Hieronyma alchorneoides,1500,1700,2000,2100,2400,2000,N/A,6
Hieronyma antioquensis,700,N/A,N/A,N/A,N/A,N/A,N/A,1
Hieronyma duquei,800,2200,1700,800,1300,300,N/A,6
Hieronyma fendleri,1900,1500,1900,500,2200,1800,N/A,6
Hieronyma huilensis,1100,1500,N/A,N/A,N/A,N/A,N/A,2
Hieronyma macrocarpa,400,2200,1800,0,2000,N/A,N/A,5
Hieronyma oblonga,2100,1900,2100,2000,2800,2100,N/A,6
Hieronyma rufa,0,400,N/A,N/A,N/A,N/A,N/A,2
Hieronyma scabrida,1000,1000,1300,N/A,500,N/A,N/A,4
Hillia parasitica,1100,1600,1600,500,2000,2400,N/A,6
Himatanthus articulatus,1100,700,1200,500,800,600,N/A,6
Hippotis albiflora,1600,800,200,0,N/A,N/A,N/A,4
Hippotis brevipes,1300,N/A,2100,1500,0,N/A,N/A,4
Hirtella bicornis,400,700,600,300,900,0,N/A,6
Hirtella mutisii,900,400,600,N/A,N/A,N/A,N/A,3
Hirtella pilosissima,0,N/A,200,100,900,300,N/A,5
Hirtella racemosa,700,700,1300,400,800,1300,N/A,6
Hirtella triandra,1300,100,1100,400,1600,2500,N/A,6
Hirtella tubiflora,100,N/A,N/A,0,N/A,N/A,N/A,2
Hoffmannia longipetiolata,1900,1600,1500,0,N/A,N/A,N/A,4
Hortia brasiliana,0,N/A,500,N/A,N/A,N/A,N/A,2
Huberodendron patinoi,1000,200,N/A,N/A,N/A,N/A,N/A,2
Huertea granadina,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Humiriastrum colombianum,400,0,N/A,N/A,N/A,N/A,N/A,2
Hura crepitans,1400,0,400,1800,1000,500,N/A,6
Hymenaea courbaril,1400,1700,600,N/A,1100,700,N/A,5
Hymenaea oblongifolia,300,600,400,700,500,N/A,N/A,5
Hymenopus heteromorphus,1000,900,1400,0,1300,N/A,N/A,5
Hyospathe elegans,1500,1500,2100,1600,1900,400,N/A,6
Hyptidendron arboreum,1400,N/A,300,0,1600,300,N/A,5
Ilex danielis,1100,N/A,N/A,400,N/A,N/A,N/A,2
Ilex guayusa,400,500,2500,100,1400,0,N/A,6
Ilex karstenii,300,N/A,N/A,300,N/A,N/A,N/A,2
Ilex laurina,2000,700,900,2000,1300,0,N/A,6
Ilex myricoides,1300,400,1200,N/A,700,100,N/A,5
Ilex nervosa,1900,1100,1300,1600,1700,700,N/A,6
Ilex pernervata,700,1100,N/A,N/A,N/A,N/A,N/A,2
Ilex pustulosa,0,N/A,N/A,0,N/A,N/A,N/A,2
Inga acreana,1100,1200,2000,1600,2200,1000,N/A,6
Inga acrocephala,1300,1400,1100,1500,2000,N/A,N/A,5
Inga acuminata,600,1100,200,N/A,0,N/A,N/A,4
Inga alba,1000,800,1500,700,1400,800,N/A,6
Inga capitata,400,1000,1400,1900,2600,1000,N/A,6
Inga chartacea,0,1100,1400,300,1200,200,N/A,6
Inga cinnamomea,700,1400,900,0,600,0,N/A,6
Inga cocleensis,1500,700,0,N/A,N/A,N/A,N/A,3
Inga coruscans,1100,2300,1800,100,1100,100,N/A,6
Inga densiflora,1900,2900,1700,1400,0,200,N/A,6
Inga edulis,1900,2200,1500,1500,1700,1000,400,7
Inga heterophylla,1400,200,700,1200,1800,1300,N/A,6
Inga lallensis,400,0,2200,N/A,0,N/A,N/A,4
Inga laurina,800,500,2000,0,1400,1100,0,7
Inga lopadadenia,500,N/A,0,900,200,N/A,N/A,4
Inga macrophylla,900,200,900,300,1800,1100,0,7
Inga marginata,1900,1700,2300,2200,2500,1900,1400,7
Inga mucuna,800,0,N/A,N/A,N/A,N/A,N/A,2
Inga multijuga,800,1700,1800,N/A,0,N/A,N/A,4
Inga multinervis,0,N/A,1200,0,1200,0,N/A,5
Inga nobilis,2400,1400,2000,2000,2100,2200,N/A,6
Inga oerstediana,2000,1700,1700,1600,1900,1400,N/A,6
Inga pezizifera,1700,1100,0,N/A,1400,0,N/A,5
Inga punctata,2000,1700,1800,1900,2300,1300,N/A,6
Inga ruiziana,1000,1300,2000,2000,1600,1100,N/A,6
Inga sapindoides,1400,1700,1500,600,1900,1000,N/A,6
Inga sertulifera,1200,1200,1300,0,1000,N/A,N/A,5
Inga sierrae,1200,700,N/A,N/A,N/A,N/A,N/A,2
Inga spectabilis,1600,1200,2000,0,1800,N/A,N/A,5
Inga stenoptera,0,1300,1200,2700,1100,N/A,N/A,5
Inga striata,0,500,1600,1700,2100,2300,N/A,6
Inga thibaudiana,1300,1000,800,1000,1800,1100,N/A,6
Inga umbellifera,1200,1200,900,400,1600,1500,N/A,6
Inga velutina,1000,N/A,1800,N/A,1500,0,N/A,4
Inga venusta,1300,0,400,0,300,N/A,N/A,5
Inga vera,1600,1800,200,0,1800,N/A,N/A,5
Inga villosissima,800,700,1500,N/A,N/A,0,N/A,4
Iriartea deltoidea,1200,1000,1800,1200,1300,900,N/A,6
Iryanthera hostmannii,600,300,200,N/A,N/A,N/A,N/A,3
Iryanthera paraensis,100,100,300,1000,1600,N/A,N/A,5
Iryanthera ulei,1100,200,600,200,1200,N/A,N/A,5
Isertia laevis,1700,1200,2000,1400,1800,900,N/A,6
Isidodendron tripterocarpum,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Jacaranda caucana,1900,1600,N/A,N/A,N/A,N/A,N/A,2
Jacaranda copaia,1300,1100,1100,2300,1100,500,N/A,6
Jacaranda glabra,0,500,700,800,2400,1400,N/A,6
Jacaranda hesperia,1100,500,0,N/A,N/A,N/A,N/A,3
Jacaranda mimosifolia,100,0,1400,N/A,1200,1800,1500,6
Jacaranda obtusifolia,500,600,0,N/A,100,N/A,N/A,4
Jacaratia chocoensis,0,0,N/A,N/A,600,N/A,N/A,3
Jacaratia digitata,0,1200,1500,700,1200,2100,N/A,6
Joosia umbellifera,900,1800,1000,100,N/A,0,N/A,5
Juglans neotropica,2500,2100,1800,1100,2300,700,N/A,6
Klarobelia anomala,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Lacistema aggregatum,1400,1800,1200,1300,1700,1600,0,7
Lacistema nena,0,500,900,600,800,800,N/A,6
Lacmellea edulis,1300,1200,1600,0,600,N/A,N/A,5
Lacunaria crenata,200,0,0,N/A,N/A,N/A,N/A,3
Ladenbergia macrocarpa,2400,1800,1200,400,900,0,N/A,6
Ladenbergia magdalenae,800,N/A,N/A,N/A,N/A,N/A,N/A,1
Ladenbergia muzonensis,1500,1500,900,1000,N/A,N/A,N/A,4
Ladenbergia oblongifolia,2100,2300,2100,1900,1600,2000,N/A,6
Lafoensia acuminata,900,100,1200,2000,1000,0,N/A,6
Lecointea amazonica,700,N/A,N/A,N/A,600,N/A,N/A,2
Lecythis ampla,800,0,N/A,N/A,N/A,N/A,N/A,2
Lecythis mesophylla,600,N/A,N/A,N/A,N/A,N/A,N/A,1
Lecythis minor,100,0,N/A,N/A,N/A,N/A,N/A,2
Lecythis tuyrana,500,0,N/A,N/A,N/A,N/A,N/A,2
Leonia glycycarpa,300,800,1200,1500,1400,700,N/A,6
Leonia triandra,700,600,N/A,N/A,N/A,N/A,N/A,2
Leucaena trichodes,0,N/A,1300,1500,1700,N/A,N/A,4
Licania hypoleuca,700,200,700,200,900,N/A,N/A,5
Licania micrantha,800,600,100,900,600,300,N/A,6
Licaria applanata,0,1100,1900,N/A,N/A,N/A,N/A,3
Licaria canella,0,500,2000,2000,1300,0,N/A,6
Licaria cannella,0,500,2000,2000,1300,0,N/A,6
Licaria triandra,700,0,1500,900,1100,700,N/A,6
Lindackeria laurina,1000,0,N/A,N/A,N/A,N/A,N/A,2
Lindackeria paludosa,300,800,600,400,500,N/A,N/A,5
Lippia americana,500,0,0,0,N/A,N/A,N/A,4
Lippia hirsuta,1900,700,N/A,N/A,N/A,N/A,N/A,2
Lonchocarpus macrophyllus,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Lonchocarpus sericeus,0,400,N/A,0,N/A,N/A,N/A,3
Lozanella enantiophylla,1300,1100,2000,1200,1400,800,N/A,6
Lozania mutisiana,1600,2000,1400,1200,500,N/A,N/A,5
Luehea seemannii,1200,1000,N/A,N/A,N/A,0,N/A,3
Lunania parviflora,1000,0,900,2300,800,1700,N/A,6
Lycianthes inaequilatera,1300,1300,1600,1300,2000,1500,N/A,6
Lycianthes pauciflora,1600,1500,2000,2200,2200,1700,N/A,6
Mabea occidentalis,1400,1500,400,N/A,0,N/A,N/A,4
Mabea trianae,600,300,N/A,N/A,N/A,N/A,N/A,2
Machaerium biovulatum,1200,N/A,N/A,N/A,300,N/A,N/A,2
Machaerium capote,1100,700,N/A,N/A,N/A,N/A,N/A,2
Machaerium floribundum,900,400,200,200,1400,N/A,N/A,5
Machaerium hirtum,200,N/A,N/A,N/A,1600,1800,N/A,3
Machaerium lanceolatum,300,N/A,N/A,N/A,N/A,N/A,N/A,1
Machaerium moritzianum,400,N/A,N/A,N/A,N/A,N/A,N/A,1
Macleania rupestris,2400,1700,1900,1100,1700,0,N/A,6
Maclura tinctoria,1300,1200,1300,1500,3600,1300,1600,7
Macrocarpaea glabra,1900,1400,N/A,N/A,N/A,N/A,N/A,2
Macrocarpaea macrophylla,2000,1600,N/A,N/A,N/A,N/A,N/A,2
Macrocnemum grandiflorum,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Macrocnemum roseum,1800,300,1500,2400,1700,1100,N/A,6
Macrohasseltia macroterantha,400,N/A,N/A,N/A,N/A,N/A,N/A,1
Macrolobium colombianum,500,1600,700,N/A,N/A,N/A,N/A,3
Macrolobium gracile,100,600,1500,500,700,N/A,N/A,5
Macrolobium pittieri,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Magnolia cespedesii,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Magnolia chimantensis,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Magnolia espinalii,300,N/A,N/A,N/A,N/A,N/A,N/A,1
Magnolia silvioi,900,N/A,N/A,N/A,N/A,N/A,N/A,1
Magnolia urraoensis,1100,N/A,N/A,N/A,N/A,N/A,N/A,1
Magnolia yarumalensis,400,N/A,N/A,N/A,N/A,N/A,N/A,1
Malouetia guatemalensis,400,N/A,N/A,N/A,N/A,N/A,N/A,1
Malpighia glabra,1300,900,N/A,200,N/A,N/A,N/A,3
Manilkara bidentata,0,100,700,1800,100,N/A,N/A,5
Maprounea guianensis,1100,700,0,700,1200,1000,N/A,6
Maquira guianensis,900,300,900,N/A,800,N/A,N/A,4
Marcgraviastrum macrocarpum,800,200,N/A,0,1500,N/A,N/A,4
Margaritaria nobilis,1300,700,2000,1000,1400,1300,N/A,6
Marila geminata,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Marila laxiflora,400,1200,0,2300,1100,1000,N/A,6
Marila podantha,1000,600,200,N/A,N/A,N/A,N/A,3
Matayba adenanthera,1200,N/A,N/A,N/A,N/A,N/A,N/A,1
Matayba arborescens,900,700,400,200,1000,300,0,7
Matayba camptoneura,1000,N/A,0,N/A,N/A,N/A,N/A,2
Matayba elegans,2300,0,N/A,0,N/A,N/A,N/A,3
Matayba guianensis,1100,700,N/A,N/A,1600,900,N/A,4
Matayba peruviana,0,800,0,1700,1000,N/A,N/A,5
Matayba purgans,500,500,0,200,300,N/A,N/A,5
Matayba scrobiculata,0,200,N/A,N/A,300,0,N/A,4
Matisia castano,0,600,400,N/A,N/A,N/A,N/A,3
Matisia cornu-copiae,0,700,0,N/A,N/A,N/A,N/A,3
Matisia floccosa,400,900,0,N/A,N/A,N/A,N/A,3
Matisia idroboi,0,1200,1300,N/A,N/A,N/A,N/A,3
Matudaea colombiana,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Mauria ferruginea,1000,0,N/A,1600,2500,0,N/A,5
Mauria heterophylla,1500,2200,2300,3000,2500,1500,0,7
Mayna grandifolia,400,N/A,0,1400,N/A,N/A,N/A,3
Mayna odorata,1300,900,1100,1700,1400,900,N/A,6
Mayna suaveolens,0,0,N/A,N/A,N/A,N/A,N/A,2
Maytenus longipes,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Maytenus verticillata,600,1000,1400,1200,2300,1600,0,7
Melicoccus bijugatus,1500,500,N/A,N/A,N/A,N/A,N/A,2
Melicoccus oliviformis,300,0,0,0,N/A,N/A,N/A,4
Meliosma echeverryana,1300,N/A,N/A,0,N/A,N/A,N/A,2
Meliosma frondosa,1100,1600,2500,2000,2700,800,N/A,6
Meliosma glossophylla,0,N/A,0,1100,1700,0,N/A,5
Meliosma occidentalis,600,1500,0,N/A,N/A,N/A,N/A,3
Annona edulis,900,800,1500,N/A,0,N/A,N/A,4
Annona jahnii,500,0,0,N/A,N/A,N/A,N/A,3
Annona montana,800,0,900,200,800,300,N/A,6
Annona mucosa,1400,1200,1800,1300,2500,1700,N/A,6
Annona muricata,3400,1300,1200,1000,1100,2000,N/A,6
Annona papilionella,1300,1600,1600,700,1100,1300,N/A,6
Annona quinduensis,1900,1700,500,N/A,N/A,N/A,N/A,3
Annona rensoniana,1600,500,0,N/A,N/A,N/A,N/A,3
Aparisthmium cordatum,1000,1400,2000,1000,1600,1200,N/A,6
Apeiba glabra,1000,900,1100,200,800,0,N/A,6
Apeiba membranacea,900,800,1100,600,900,500,N/A,6
Apeiba tibourbou,600,200,500,200,800,600,N/A,6
Aphelandra glabrata,1200,800,N/A,300,600,600,N/A,5
Aphelandra lasiophylla,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Aphelandra pulcherrima,1200,800,N/A,0,0,N/A,N/A,4
Aphelandra runcinata,1200,1300,N/A,N/A,N/A,N/A,N/A,2
Aphelandra scolnikiae,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Aptandra tubicina,700,N/A,100,100,N/A,N/A,N/A,3
Arachnothryx colombiana,1400,300,N/A,N/A,N/A,N/A,N/A,2
Aralia excelsa,0,N/A,N/A,N/A,N/A,0,N/A,2
Ardisia foetida,2900,2400,0,N/A,N/A,N/A,N/A,3
Ardisia guianensis,2300,1900,1100,900,800,500,N/A,6
Aspidosperma cuspa,600,600,N/A,0,N/A,N/A,N/A,3
Aspidosperma desmanthum,1200,1200,1500,300,600,N/A,N/A,5
Aspidosperma excelsum,200,700,400,700,1000,500,N/A,6
Aspidosperma megalocarpon,800,1100,0,0,N/A,N/A,N/A,4
Aspidosperma parvifolium,900,N/A,N/A,1100,1000,0,N/A,4
Aspidosperma polyneuron,100,0,0,2200,N/A,0,N/A,5
Aspidosperma spruceanum,1200,1400,300,400,700,700,N/A,6
Astrocaryum malybo,600,N/A,N/A,N/A,N/A,N/A,N/A,1
Astrocaryum triandrum,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Astronium graveolens,1200,500,400,900,1100,700,N/A,6
Astronium lecointei,500,N/A,N/A,0,1100,0,N/A,4
Meliosma schlimii,0,N/A,0,0,1300,N/A,N/A,4
Meliosma vasquezii,0,0,500,0,1100,1700,N/A,6
Meliosma violacea,0,1800,N/A,N/A,N/A,N/A,N/A,2
Meriania albertiae,400,N/A,N/A,N/A,N/A,N/A,N/A,1
Meriania brachycera,700,1300,N/A,N/A,N/A,N/A,N/A,2
Meriania grandidens,1200,0,N/A,N/A,N/A,N/A,N/A,2
Meriania longifolia,2000,1300,N/A,N/A,N/A,N/A,N/A,2
Meriania nobilis,1200,100,N/A,N/A,N/A,N/A,N/A,2
Meriania quintuplinervis,1100,0,N/A,N/A,N/A,N/A,N/A,2
Meriania tomentosa,100,1700,1500,900,1100,500,N/A,6
Miconia acanthocoryne,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Miconia affinis,1700,1700,1500,600,1500,2000,N/A,6
Miconia albicans,1900,1700,100,800,2000,1600,N/A,6
Miconia alternans,1600,300,N/A,0,0,900,N/A,5
Miconia aponeura,1100,900,0,N/A,N/A,N/A,N/A,3
Miconia asperrima,1100,800,1000,300,N/A,N/A,N/A,4
Miconia astroplocama,700,0,1800,1800,1100,N/A,N/A,5
Miconia biappendiculata,800,700,N/A,N/A,400,N/A,N/A,3
Miconia brachycalyx,900,1600,400,N/A,N/A,N/A,N/A,3
Miconia bracteolata,2300,400,1000,400,200,N/A,N/A,5
Miconia brevitheca,300,3000,1700,N/A,N/A,N/A,N/A,3
Miconia caesia,1400,N/A,N/A,N/A,N/A,N/A,N/A,1
Miconia calvescens,0,1000,2000,1700,2400,1800,900,7
Miconia caudata,1600,1900,N/A,N/A,N/A,0,N/A,3
Miconia centrodesma,1200,1200,1100,500,2300,700,N/A,6
Miconia chlorocarpa,300,800,N/A,N/A,N/A,N/A,N/A,2
Miconia chrysophylla,0,400,500,900,1500,1800,N/A,6
Miconia cladonia,1200,1800,1300,N/A,N/A,N/A,N/A,3
Miconia costaricensis,1500,200,N/A,N/A,N/A,N/A,N/A,2
Miconia crassinervia,700,0,N/A,N/A,N/A,N/A,N/A,2
Miconia cundinamarcensis,1100,700,N/A,N/A,N/A,N/A,N/A,2
Miconia decurrens,800,1000,1000,800,0,N/A,N/A,5
Miconia divergens,0,0,0,N/A,N/A,N/A,N/A,3
Miconia dodecandra,1400,1500,1800,700,1100,1000,N/A,6
Miconia dolichopoda,1500,1300,N/A,N/A,N/A,N/A,N/A,2
Miconia dolichorrhyncha,1600,2500,2500,1300,2400,1800,N/A,6
Miconia donaeana,500,0,N/A,N/A,400,N/A,N/A,3
Miconia elata,1300,3400,1100,N/A,400,N/A,N/A,4
Miconia floribunda,1600,1400,1000,200,1400,N/A,N/A,5
Miconia fragrans,700,0,N/A,N/A,N/A,N/A,N/A,2
Miconia goniostigma,600,1800,1100,N/A,N/A,N/A,N/A,3
Miconia gracilis,1900,1800,400,N/A,N/A,N/A,N/A,3
Miconia ibaguensis,1600,0,N/A,300,1100,2200,N/A,5
Miconia incachacana,0,N/A,N/A,N/A,100,500,N/A,3
Miconia jahnii,2700,600,1600,N/A,N/A,N/A,N/A,3
Miconia laetivirens,0,0,N/A,N/A,N/A,N/A,N/A,2
Miconia lamprophylla,1300,600,1300,0,400,0,N/A,6
Miconia latifolia,800,3200,1200,900,600,0,N/A,6
Miconia lehmannii,2100,3100,N/A,N/A,N/A,N/A,N/A,2
Miconia ligustrina,1100,1500,900,N/A,N/A,N/A,N/A,3
Miconia lonchophylla,800,2000,N/A,N/A,N/A,N/A,N/A,2
Miconia longifolia,1600,900,1400,900,1700,0,N/A,6
Miconia matthaei,1200,0,200,400,1300,800,N/A,6
Miconia minutiflora,1600,1300,N/A,N/A,N/A,N/A,N/A,2
Miconia mirabilis,300,500,N/A,N/A,N/A,0,N/A,3
Miconia multiplinervia,1300,1200,0,N/A,N/A,N/A,N/A,3
Miconia myriantha,0,200,N/A,200,0,600,N/A,5
Miconia myrtillifolia,2100,900,N/A,N/A,N/A,N/A,N/A,2
Miconia notabilis,800,1000,0,N/A,N/A,N/A,N/A,3
Miconia ochracea,500,2800,0,N/A,N/A,N/A,N/A,3
Miconia orcheotoma,100,200,N/A,N/A,N/A,N/A,N/A,2
Miconia plena,600,N/A,N/A,N/A,N/A,N/A,N/A,1
Miconia poeppigii,700,600,700,200,1400,700,N/A,6
Miconia prasina,2300,3400,1500,800,1200,2300,N/A,6
Miconia pterocaulon,500,1200,100,0,0,N/A,N/A,5
Miconia punctata,1800,1800,2000,1800,1900,1900,N/A,6
Miconia pustulata,0,1200,700,N/A,N/A,N/A,N/A,3
Miconia quintuplinervia,700,N/A,N/A,N/A,N/A,N/A,N/A,1
Miconia reducens,1900,1400,N/A,0,100,400,N/A,5
Miconia resima,2300,900,N/A,N/A,N/A,N/A,N/A,2
Miconia rupticalyx,0,N/A,300,N/A,N/A,200,N/A,3
Miconia sandemanii,1000,N/A,N/A,N/A,N/A,N/A,N/A,1
Miconia serrulata,1700,1300,400,400,600,300,N/A,6
Miconia smaragdina,2100,2000,1300,N/A,N/A,N/A,N/A,3
Miconia spicellata,1200,700,N/A,N/A,N/A,N/A,N/A,2
Miconia splendens,1300,1300,1100,700,3700,1500,N/A,6
Miconia superposita,400,0,N/A,N/A,N/A,N/A,N/A,2
Miconia ternatifolia,300,0,400,2200,1700,1000,N/A,6
Miconia theizans,3200,3300,2800,1300,3100,2600,N/A,6
Miconia tinifolia,1500,1200,1500,N/A,N/A,N/A,N/A,3
Miconia tonduzii,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Miconia trinervia,1700,1700,1500,0,600,300,N/A,6
Miconia voronovii,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Miconia wurdackii,800,1100,N/A,N/A,N/A,N/A,N/A,2
Micropholis egensis,300,0,400,400,1000,0,N/A,6
Micropholis guyanensis,1200,1300,1800,900,1500,1200,N/A,6
Micropholis melinoniana,0,300,400,0,900,N/A,N/A,5
Micropholis venulosa,800,1300,1600,1400,1400,1100,N/A,6
Minquartia guianensis,600,1100,1200,1300,1200,N/A,N/A,5
Mollinedia killipii,0,300,1600,1700,1000,1000,N/A,6
Mollinedia lanceolata,0,N/A,0,700,2400,1500,N/A,5
Mollinedia minutiflora,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Mollinedia ovata,600,1100,1900,1800,2200,2600,N/A,6
Mollinedia repanda,0,N/A,1100,2300,2900,2300,N/A,5
Mollinedia tomentosa,1800,1300,1600,0,0,400,N/A,6
Monnina aestuans,2300,2500,0,N/A,N/A,N/A,N/A,3
Morella parvifolia,1400,2200,1300,800,N/A,0,N/A,5
Morella pubescens,3100,2400,2900,3300,2200,3100,1100,7
Morisonia americana,1100,N/A,N/A,N/A,N/A,N/A,N/A,1
Morisonia oblongifolia,1000,N/A,N/A,0,100,N/A,N/A,3
Morus alba,1200,0,0,N/A,0,0,0,6
Mosannona hypoglauca,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Mouriri nigra,600,200,300,300,1000,0,N/A,6
Muntingia calabura,1200,3200,1400,1400,1800,1400,300,7
Myrcia cucullata,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Myrcia paivae,1900,3400,2100,1000,2300,2200,N/A,6
Myrcia paive,1900,3400,2100,1000,2300,2200,N/A,6
Myrcia popayanensis,1500,1800,N/A,N/A,N/A,N/A,N/A,2
Myrcia splendens,2600,2000,2300,2600,2900,2300,N/A,6
Myrcia sylvatica,1100,1300,0,1600,2100,600,N/A,6
Myrcianthes myrsinoides,1200,0,1700,500,100,700,N/A,6
Myrcianthes orthostemon,1100,900,1700,N/A,N/A,0,N/A,4
Myrcianthes rhopaloides,1100,1500,2300,1600,1300,1000,N/A,6
Myriocarpa stipitata,1700,1400,1700,2300,2600,1700,400,7
Myroxylon balsamum,1300,400,1500,300,1100,1300,0,7
Myrsine andina,2100,1400,2100,1200,1800,700,N/A,6
Myrsine coriacea,2800,2700,1900,0,N/A,0,N/A,5
Myrsine dependens,1000,2500,1900,1800,2600,1600,N/A,6
Myrsine guianensis,3100,3300,N/A,N/A,N/A,600,N/A,3
Myrsine latifolia,2000,2000,2100,2300,1700,2600,N/A,6
Myrsine oligophylla,0,N/A,N/A,1700,1600,0,N/A,4
Myrsine pellucida,2800,2600,1900,2500,3100,2700,N/A,6
Myrsine pellucidopunctata,1500,N/A,N/A,N/A,N/A,N/A,N/A,1
Naucleopsis capirensis,1500,1300,N/A,N/A,N/A,N/A,N/A,2
Naucleopsis glabra,1600,1700,2000,0,600,0,N/A,6
Naucleopsis naga,600,1100,1400,N/A,0,N/A,N/A,4
Naucleopsis ulei,300,500,1500,1500,700,0,N/A,6
Nectandra acutifolia,2000,1600,1300,1800,2000,1500,N/A,6
Nectandra cuspidata,1600,700,1400,1400,2100,1700,N/A,6
Nectandra laurel,1000,1500,2000,1500,1400,1300,N/A,6
