species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25
Hillia parasitica,1500,1600,1600,500,2000,2400,N/A
Himatanthus articulatus,0,700,1200,500,800,600,N/A
Hippotis albiflora,0,800,200,0,N/A,N/A,N/A
Hippotis brevipes,0,1400,2100,1500,0,N/A,N/A
Hirtella mutisii,0,0,400,N/A,N/A,N/A,N/A
Hirtella pilosissima,0,0,200,100,900,300,N/A
Hirtella racemosa,0,700,1300,400,800,1300,N/A
Hirtella triandra,200,0,1100,400,1600,2500,N/A
Hirtella tubiflora,100,0,N/A,0,N/A,N/A,N/A
Hoffmannia longipetiolata,300,1500,1500,0,N/A,N/A,N/A
Hortia brasiliana,0,200,500,N/A,0,N/A,N/A
Huberodendron patinoi,0,200,N/A,N/A,N/A,N/A,N/A
Huertea granadina,0,0,N/A,N/A,N/A,N/A,N/A
Humiriastrum colombianum,0,0,0,N/A,N/A,N/A,N/A
Hura crepitans,200,600,400,1800,1000,500,N/A
Hymenaea courbaril,1300,1900,0,N/A,1100,700,N/A
Hymenaea oblongifolia,0,600,400,700,400,N/A,N/A
Hymenopus heteromorphus,900,600,1400,0,1300,N/A,N/A
Hyospathe elegans,100,1300,2100,1600,1900,400,N/A
Hyptidendron arboreum,500,N/A,300,0,1600,300,N/A
Ilex colombiana,0,400,N/A,N/A,N/A,0,N/A
Ilex danielis,100,1100,N/A,400,N/A,N/A,N/A
Ilex goudotii,0,N/A,N/A,N/A,1000,600,N/A
Ilex guayusa,0,300,2400,100,1400,0,N/A
Ilex karstenii,0,N/A,N/A,300,0,N/A,N/A
Ilex laurina,500,700,900,2000,1300,0,N/A
Ilex myricoides,900,400,1200,N/A,700,100,N/A
Ilex nervosa,800,1000,1300,1600,1700,700,N/A
Ilex pernervata,700,1100,N/A,N/A,N/A,N/A,N/A
Ilex pustulosa,0,N/A,N/A,0,N/A,N/A,N/A
Ilex sessiliflora,0,300,N/A,N/A,1100,500,N/A
Inga acreana,1100,1100,2000,1600,2200,1000,N/A
Inga acrocephala,2500,1600,1100,1500,2000,N/A,N/A
Inga acuminata,200,1000,400,N/A,0,N/A,N/A
Inga alba,0,600,1500,700,1400,800,N/A
Inga capitata,0,1000,1400,1900,2600,1000,N/A
Inga cinnamomea,0,0,900,0,600,0,N/A
Inga cocleensis,0,900,0,N/A,N/A,N/A,N/A
Inga coruscans,700,1200,1800,100,1100,100,N/A
Inga densiflora,300,2000,1700,1400,0,200,N/A
Inga edulis,1600,2200,1500,1500,2600,2400,400
Inga heterophylla,1500,700,800,1300,1800,1300,N/A
Inga lallensis,300,0,2200,N/A,0,N/A,N/A
Inga laurina,900,500,2000,0,1400,1100,0
Inga macrophylla,0,1000,900,300,1700,1100,0
Inga marginata,300,1700,2300,2200,2500,1900,1400
Inga mucuna,1400,0,N/A,N/A,N/A,N/A,N/A
Inga nobilis,1700,1400,2000,2000,2100,2200,N/A
Inga oerstediana,800,1800,1600,1600,1900,1400,N/A
Inga pezizifera,0,1100,0,N/A,1400,0,N/A
Inga punctata,1700,1700,1800,1900,2300,1300,N/A
Inga ruiziana,0,1300,2000,2000,1600,1100,N/A
Inga sapindoides,0,1500,1500,600,1900,1000,N/A
Inga sertulifera,100,800,1300,100,1000,N/A,N/A
Inga sierrae,0,400,0,N/A,N/A,N/A,N/A
Inga spectabilis,1300,900,2000,0,1800,0,N/A
Inga thibaudiana,1100,1100,800,1000,1800,1100,N/A
Inga umbellifera,0,900,900,400,1600,1500,N/A
Inga velutina,0,0,1700,N/A,1500,0,N/A
Inga venusta,0,1300,400,0,300,N/A,N/A
Inga vera,1500,1600,200,0,800,N/A,N/A
Inga villosissima,500,600,1500,N/A,N/A,0,N/A
Iriartea deltoidea,0,1300,1800,1200,1300,900,N/A
Iryanthera hostmannii,0,300,200,N/A,N/A,N/A,N/A
Iryanthera paraensis,0,0,300,1000,1600,N/A,N/A
Iryanthera ulei,0,200,600,200,1200,0,N/A
Isertia laevis,600,1100,2000,1400,1800,900,N/A
Isidodendron tripterocarpum,200,N/A,N/A,N/A,N/A,N/A,N/A
Jacaranda caucana,0,1500,N/A,N/A,N/A,N/A,N/A
Jacaranda copaia,900,1100,1100,2300,1100,500,N/A
Jacaranda hesperia,0,0,0,N/A,N/A,N/A,N/A
Jacaranda mimosifolia,0,1500,1400,N/A,1200,2900,1500
Jacaranda obtusifolia,0,500,0,N/A,0,N/A,N/A
Joosia umbellifera,0,1800,1700,100,0,0,N/A
Juglans neotropica,200,1800,1800,1100,2300,700,N/A
Klarobelia anomala,0,N/A,N/A,N/A,0,N/A,N/A
Lacistema aggregatum,1100,1800,2000,1300,1700,1600,0
Lacmellea edulis,900,1200,1600,0,600,N/A,N/A
Lacunaria crenata,500,1300,0,N/A,N/A,N/A,N/A
Ladenbergia heterophylla,0,1400,900,0,N/A,N/A,N/A
Ladenbergia macrocarpa,1900,1800,1200,400,900,0,N/A
Ladenbergia magdalenae,1300,N/A,N/A,N/A,N/A,N/A,N/A
Ladenbergia muzonensis,1500,1500,900,1000,0,N/A,N/A
Ladenbergia oblongifolia,2300,2000,2100,1900,1600,2000,N/A
Lafoensia acuminata,100,600,1200,2000,1000,0,N/A
Lecointea amazonica,0,0,0,N/A,600,N/A,N/A
Lecythis ampla,0,0,0,N/A,N/A,N/A,N/A
Lecythis mesophylla,1200,N/A,N/A,N/A,N/A,N/A,N/A
Lecythis minor,0,0,N/A,N/A,N/A,N/A,N/A
Lecythis tuyrana,200,0,N/A,N/A,N/A,N/A,N/A
Leonia glycycarpa,1400,500,1200,1500,1400,700,N/A
Leonia triandra,0,400,0,N/A,N/A,N/A,N/A
Leucaena trichodes,0,0,1300,1500,1700,N/A,N/A
Licania hypoleuca,0,200,700,200,600,N/A,N/A
Licania micrantha,0,600,100,900,600,300,N/A
Licaria applanata,600,1200,1900,N/A,N/A,N/A,N/A
Licaria triandra,0,0,1500,900,1100,700,N/A
Lindackeria laurina,0,0,N/A,N/A,N/A,N/A,N/A
Lindackeria paludosa,0,800,600,400,500,N/A,N/A
Lippia hirsuta,600,1000,0,N/A,N/A,N/A,N/A
Lonchocarpus macrophyllus,0,1300,N/A,N/A,N/A,N/A,N/A
Lonchocarpus sericeus,100,400,N/A,2200,N/A,N/A,N/A
Lonchocarpus velutinus,2500,N/A,N/A,N/A,N/A,N/A,N/A
Lozanella enantiophylla,200,1100,2000,1200,1400,800,N/A
Lozania mutisiana,200,1800,1400,1200,500,N/A,N/A
Luehea seemannii,200,700,100,N/A,0,0,N/A
Lunania parviflora,200,0,800,2400,800,1700,N/A
Lycianthes inaequilatera,1300,1300,1600,1300,2000,1500,N/A
Lycianthes pauciflora,1600,1300,2000,2200,2200,1700,N/A
Mabea occidentalis,1100,1300,400,N/A,0,N/A,N/A
Mabea trianae,100,300,N/A,N/A,N/A,N/A,N/A
Machaerium biovulatum,0,100,N/A,N/A,300,N/A,N/A
Machaerium capote,200,900,N/A,N/A,N/A,N/A,N/A
Machaerium floribundum,100,700,200,200,1400,N/A,N/A
Machaerium moritzianum,0,N/A,N/A,N/A,N/A,N/A,N/A
Machaerium mutisii,0,N/A,500,0,0,N/A,N/A
Macleania rupestris,1100,1700,1900,1100,1700,0,N/A
Maclura tinctoria,1200,900,1300,1500,3500,1300,1600
Macrocarpaea glabra,900,1400,N/A,N/A,N/A,N/A,N/A
Macrocarpaea macrophylla,1700,300,N/A,N/A,N/A,N/A,N/A
Macrocnemum grandiflorum,0,0,N/A,N/A,N/A,N/A,N/A
Macrocnemum roseum,100,1000,1500,2400,1700,1100,N/A
Macrolobium colombianum,1600,1600,700,N/A,N/A,N/A,N/A
Macrolobium pittieri,0,N/A,N/A,N/A,N/A,N/A,N/A
Magnolia silvioi,100,N/A,N/A,N/A,N/A,N/A,N/A
Magnolia urraoensis,0,N/A,N/A,N/A,N/A,N/A,N/A
Malouetia guatemalensis,0,N/A,N/A,N/A,N/A,N/A,N/A
Malpighia glabra,1200,800,1600,200,N/A,N/A,N/A
Manilkara bidentata,0,0,700,1800,100,N/A,N/A
Manilkara chicle,0,N/A,N/A,N/A,N/A,N/A,N/A
Maprounea guianensis,0,700,0,700,1200,1000,N/A
Maquira guianensis,100,1500,900,N/A,700,0,N/A
Marcgraviastrum macrocarpum,1100,200,0,0,1500,N/A,N/A
Margaritaria nobilis,2600,600,2000,1000,1400,1300,N/A
Marila laxiflora,1200,1100,0,2300,1100,1000,N/A
Marila podantha,100,600,200,N/A,0,N/A,N/A
Matayba adenanthera,0,100,200,N/A,N/A,N/A,N/A
Matayba arborescens,1400,500,400,200,1000,300,0
Matayba camptoneura,1400,100,0,N/A,N/A,N/A,N/A
Matayba elegans,2100,1200,0,1700,0,N/A,N/A
Matayba guianensis,1100,700,0,N/A,1500,900,N/A
Matayba scrobiculata,100,0,N/A,N/A,300,0,N/A
Matisia castano,0,600,400,N/A,N/A,N/A,N/A
Matisia floccosa,300,1000,0,N/A,N/A,N/A,N/A
Matisia idroboi,0,1400,1200,N/A,N/A,N/A,N/A
Matudaea colombiana,0,0,N/A,N/A,N/A,N/A,N/A
Mauria ferruginea,800,0,N/A,1600,2500,0,N/A
Mauria heterophylla,200,2100,2300,3000,2500,1500,0
Mauritia flexuosa,0,200,900,300,200,0,N/A
Mayna grandifolia,0,0,0,1400,0,N/A,N/A
Mayna odorata,1100,500,1100,1900,1400,900,N/A
Maytenus longipes,200,N/A,N/A,N/A,N/A,N/A,N/A
Maytenus verticillata,200,700,1400,1200,2300,1600,0
Melicoccus bijugatus,1300,700,N/A,N/A,N/A,N/A,N/A
Melicoccus oliviformis,100,0,0,0,N/A,N/A,N/A
Meliosma bogotana,0,500,0,N/A,0,N/A,N/A
Meliosma frondosa,0,1400,2500,2000,2700,800,N/A
Meliosma glossophylla,100,N/A,0,1100,1700,0,N/A
Meliosma martana,0,N/A,N/A,N/A,N/A,N/A,N/A
Meliosma occidentalis,100,1500,0,N/A,N/A,N/A,N/A
Annona edulis,0,700,1500,0,0,N/A,N/A
Annona jahnii,100,0,0,N/A,N/A,N/A,N/A
Annona montana,0,700,900,200,800,300,N/A
Annona mucosa,1500,1100,1800,1300,2500,1700,N/A
Annona muricata,0,1000,2000,1300,1100,2000,N/A
Annona papilionella,500,1500,1600,700,1100,1300,N/A
Annona quinduensis,1500,1700,500,N/A,N/A,N/A,N/A
Annona rensoniana,100,900,0,N/A,N/A,N/A,N/A
Aparisthmium cordatum,100,1400,2000,1000,1600,1200,N/A
Apeiba glabra,0,700,1100,200,700,0,N/A
Apeiba membranacea,1100,700,1100,600,900,500,N/A
Apeiba tibourbou,100,100,500,200,800,600,N/A
Aphelandra glabrata,1200,800,0,300,600,600,N/A
Aphelandra pulcherrima,1100,800,0,0,0,N/A,N/A
Aphelandra runcinata,1200,800,N/A,N/A,N/A,N/A,N/A
Aphelandra scolnikiae,600,N/A,N/A,N/A,N/A,N/A,N/A
Aptandra tubicina,0,100,100,100,0,N/A,N/A
Arachnothryx colombiana,1200,300,N/A,N/A,N/A,N/A,N/A
Aralia excelsa,100,100,N/A,N/A,N/A,0,N/A
Ardisia foetida,1700,1500,0,N/A,N/A,N/A,N/A
Ardisia guianensis,0,1700,1100,900,800,500,N/A
Aspidosperma cuspa,0,500,N/A,0,N/A,N/A,N/A
Aspidosperma desmanthum,1200,1200,1500,300,600,N/A,N/A
Aspidosperma excelsum,100,700,400,700,1000,500,N/A
Aspidosperma megalocarpon,100,100,0,0,0,N/A,N/A
Aspidosperma polyneuron,0,200,0,2200,N/A,0,N/A
Aspidosperma spruceanum,0,500,300,400,600,700,N/A
Astrocaryum malybo,0,N/A,N/A,N/A,N/A,N/A,N/A
Astrocaryum triandrum,0,N/A,N/A,N/A,N/A,N/A,N/A
Astronium graveolens,900,700,400,1300,1100,700,N/A
Meliosma violacea,500,1500,N/A,N/A,N/A,N/A,N/A
Meriania albertiae,0,N/A,N/A,N/A,N/A,N/A,N/A
Meriania brachycera,700,900,N/A,N/A,N/A,N/A,N/A
Meriania grandidens,0,0,N/A,N/A,N/A,N/A,N/A
Meriania longifolia,1300,400,N/A,N/A,N/A,N/A,N/A
Meriania mutisii,600,0,N/A,N/A,N/A,N/A,N/A
Meriania nobilis,100,800,N/A,N/A,N/A,N/A,N/A
Meriania quintuplinervis,1100,0,N/A,N/A,N/A,N/A,N/A
Meriania tomentosa,100,1400,1500,900,1100,500,N/A
Miconia acanthocoryne,1000,N/A,N/A,N/A,N/A,N/A,N/A
Miconia affinis,1100,1700,1400,700,1500,2000,N/A
Miconia albicans,500,1700,100,800,2000,1600,N/A
Miconia alternans,200,300,200,0,0,900,N/A
Miconia aponeura,0,900,0,N/A,N/A,N/A,N/A
Miconia asperrima,300,800,1000,300,N/A,N/A,N/A
Miconia astroplocama,300,200,1600,1800,1100,N/A,N/A
Miconia biappendiculata,800,400,N/A,N/A,400,N/A,N/A
Miconia biglandulosa,2200,500,700,0,200,N/A,N/A
Miconia brachycalyx,0,1600,400,N/A,N/A,N/A,N/A
Miconia bracteolata,300,700,1000,400,200,N/A,N/A
Miconia brevitheca,1600,1100,1700,N/A,N/A,N/A,N/A
Miconia caesia,1700,0,N/A,N/A,N/A,N/A,N/A
Miconia calophylla,0,0,500,N/A,600,N/A,N/A
Miconia caudata,600,1500,N/A,N/A,N/A,0,N/A
Miconia centrodesma,0,1300,2000,500,2300,700,N/A
Miconia chlorocarpa,300,800,0,N/A,N/A,N/A,N/A
Miconia chrysophylla,0,300,500,900,1500,1800,N/A
Miconia cladonia,900,1800,1300,N/A,N/A,N/A,N/A
Miconia costaricensis,1000,200,N/A,N/A,N/A,N/A,N/A
Miconia cundinamarcensis,400,400,N/A,N/A,N/A,N/A,N/A
Miconia decurrens,0,1000,1000,800,0,N/A,N/A
Miconia denticulata,0,900,900,1400,0,N/A,N/A
Miconia dodecandra,1000,1500,1800,700,1100,1000,N/A
Miconia dolichopoda,300,1300,N/A,N/A,N/A,N/A,N/A
Miconia dolichorrhyncha,200,1600,2500,1300,2400,1800,N/A
Miconia donaeana,300,0,N/A,N/A,400,N/A,N/A
Miconia elata,500,1300,1000,N/A,400,0,N/A
Miconia ferruginea,0,1600,N/A,N/A,N/A,N/A,N/A
Miconia floribunda,1400,1000,1000,200,1400,N/A,N/A
Miconia fragrans,600,0,N/A,N/A,N/A,N/A,N/A
Miconia goniostigma,0,1700,1100,N/A,N/A,N/A,N/A
Miconia gracilis,0,1700,400,N/A,N/A,N/A,N/A
Miconia ibaguensis,200,0,0,300,1100,2200,N/A
Miconia incachacana,900,N/A,N/A,N/A,100,500,N/A
Miconia jahnii,1000,1600,1600,N/A,N/A,N/A,N/A
Miconia laetivirens,1700,0,N/A,N/A,N/A,N/A,N/A
Miconia lamprophylla,700,300,1300,0,400,0,N/A
Miconia latifolia,800,1000,1200,900,600,0,N/A
Miconia lehmannii,900,3100,N/A,N/A,N/A,N/A,N/A
Miconia ligustrina,1100,1500,900,N/A,N/A,N/A,N/A
Miconia lonchophylla,1400,500,N/A,N/A,N/A,N/A,N/A
Miconia longifolia,200,900,1400,900,1700,0,N/A
Miconia matthaei,1000,100,200,400,1300,800,N/A
Miconia microcarpa,0,N/A,N/A,N/A,N/A,N/A,N/A
Miconia minutiflora,500,1300,100,N/A,N/A,N/A,N/A
Miconia mirabilis,0,1000,0,N/A,N/A,0,N/A
Miconia multiplinervia,0,1000,0,N/A,N/A,N/A,N/A
Miconia myrtillifolia,400,1100,N/A,N/A,N/A,N/A,N/A
Miconia notabilis,1600,1000,0,N/A,N/A,N/A,N/A
Miconia ochracea,500,400,0,N/A,N/A,N/A,N/A
Miconia orcheotoma,800,900,0,N/A,N/A,N/A,N/A
Miconia plena,1400,100,N/A,N/A,N/A,N/A,N/A
Miconia poeppigii,0,400,700,200,1400,700,N/A
Miconia prasina,1700,2100,1500,900,1200,2300,N/A
Miconia pterocaulon,0,600,100,0,0,N/A,N/A
Miconia punctata,1800,1600,2000,1800,1900,1900,N/A
Miconia quintuplinervia,0,200,N/A,N/A,N/A,N/A,N/A
Miconia reducens,600,1300,0,0,100,400,N/A
Miconia resima,200,1100,N/A,N/A,N/A,N/A,N/A
Miconia sandemanii,900,N/A,N/A,N/A,N/A,N/A,N/A
Miconia serrulata,2600,1200,400,600,600,300,N/A
Miconia smaragdina,600,2000,1300,N/A,N/A,N/A,N/A
Miconia spicellata,0,1400,N/A,N/A,N/A,N/A,N/A
Miconia splendens,1200,600,1100,700,3700,1500,N/A
Miconia superposita,400,0,N/A,N/A,N/A,N/A,N/A
Miconia ternatifolia,100,0,400,2200,1600,1000,N/A
Miconia theizans,2300,3000,2800,1300,3100,2600,N/A
Miconia tinifolia,800,1200,1500,N/A,N/A,N/A,N/A
Miconia tonduzii,0,1200,N/A,N/A,N/A,N/A,N/A
Miconia trinervia,1400,1700,2000,300,600,300,N/A
Miconia wurdackii,500,1100,N/A,N/A,N/A,N/A,N/A
Micropholis egensis,100,0,400,400,1000,0,N/A
Micropholis guyanensis,1400,1300,1800,900,1500,1200,N/A
Micropholis melinoniana,0,300,400,0,900,N/A,N/A
Micropholis venulosa,0,1200,1600,1500,1300,1100,N/A
Mollinedia lanceolata,0,0,400,700,2300,1500,N/A
Mollinedia minutiflora,0,N/A,N/A,N/A,N/A,N/A,N/A
Mollinedia ovata,0,1100,2000,1900,2200,2600,N/A
Mollinedia repanda,0,0,1300,2300,2900,2300,N/A
Mollinedia tomentosa,1700,1300,1600,0,0,400,N/A
Monnina aestuans,1000,1200,0,N/A,N/A,N/A,N/A
Morella parvifolia,900,2200,1300,800,0,0,N/A
Morella pubescens,1800,2400,2900,3300,2200,3100,1100
Morisonia americana,100,600,N/A,N/A,N/A,N/A,N/A
Mosannona hypoglauca,0,N/A,N/A,N/A,N/A,N/A,N/A
Mouriri nigra,0,200,300,300,1000,0,N/A
Moutabea gentryi,0,N/A,300,N/A,0,N/A,N/A
Muntingia calabura,0,3200,2300,1500,1800,1400,900
Myrcia cucullata,0,400,N/A,N/A,N/A,N/A,N/A
Myrcia hartwegiana,0,N/A,N/A,N/A,N/A,N/A,N/A
Myrcia mollis,100,0,1600,1300,2300,2100,N/A
Myrcia paivae,700,3400,2100,1000,2300,2200,N/A
Myrcia paive,700,3400,2100,1000,2300,2200,N/A
Myrcia popayanensis,0,1800,N/A,N/A,N/A,N/A,N/A
Myrcia splendens,2500,2000,2300,2600,2900,2300,N/A
Myrcia sylvatica,0,1000,700,1800,2100,600,N/A
Myrcianthes myrsinoides,1200,200,1700,500,100,700,N/A
Myrcianthes orthostemon,0,1200,1700,N/A,N/A,0,N/A
Myrcianthes rhopaloides,800,1600,2300,1600,1300,1000,200
Myriocarpa stipitata,700,1000,1700,2300,2600,1700,400
Myroxylon balsamum,0,0,1500,300,1100,1300,0
Myrsine andina,1700,600,2100,1200,1800,700,N/A
Myrsine coriacea,1900,2800,1900,0,N/A,0,N/A
Myrsine dependens,1100,1500,1900,1800,2600,1600,N/A
Myrsine guianensis,2300,3200,0,N/A,N/A,600,N/A
Myrsine latifolia,1800,600,2100,2300,1700,2600,N/A
Myrsine pellucida,1600,2600,1900,2500,3100,2700,N/A
Myrsine pellucidopunctata,700,2900,N/A,N/A,N/A,N/A,N/A
Naucleopsis capirensis,1100,1300,N/A,N/A,N/A,N/A,N/A
Naucleopsis glabra,100,1600,2000,0,600,0,N/A
Naucleopsis naga,200,1100,1400,N/A,0,N/A,N/A
Naucleopsis ulei,0,500,1500,1500,700,0,N/A
Nectandra acutifolia,800,1100,1300,1800,2000,1500,N/A
Nectandra cuspidata,200,800,1400,1600,2100,1700,N/A
Nectandra laurel,0,900,2000,1500,1400,1300,N/A
Nectandra lineata,0,1300,1300,200,0,0,N/A
Nectandra lineatifolia,1100,500,1400,1600,1600,0,N/A
Nectandra membranacea,200,1800,2000,2100,2800,2200,0
Nectandra reticulata,0,2600,2100,2500,3300,1800,N/A
Neea amplifolia,1200,N/A,N/A,N/A,200,0,N/A
Neea divaricata,200,1800,2000,1400,900,600,N/A
Neea parviflora,0,800,500,700,800,N/A,N/A
Neea virens,0,0,2000,1400,800,0,N/A
Norantea guianensis,0,1600,1800,N/A,100,N/A,N/A
Notopleura macrophylla,500,2000,2400,1900,2500,2200,N/A
Notopleura siggersiana,0,700,300,0,N/A,N/A,N/A
Ochroma pyramidale,1300,2100,1500,1500,3200,1200,N/A
Ocotea aciphylla,600,1200,1900,2400,1800,1700,N/A
Ocotea arnottiana,100,0,0,1000,400,N/A,N/A
Ocotea benthamiana,100,900,1000,100,N/A,N/A,N/A
Ocotea bofo,0,500,1700,2300,1500,200,N/A
Ocotea cernua,1100,1200,1800,1500,1600,800,N/A
Ocotea floribunda,2500,2100,2400,1400,2500,1200,N/A
Ocotea guianensis,400,3100,900,700,700,300,N/A
Ocotea insularis,0,1800,1900,1600,500,N/A,N/A
Ocotea javitensis,1600,600,2100,1800,1800,N/A,0
Ocotea leucoxylon,300,1700,1500,1300,1200,0,N/A
Ocotea longifolia,1100,1300,1300,1600,1800,1800,N/A
Ocotea macropoda,1700,300,N/A,N/A,N/A,N/A,N/A
Ocotea micans,0,0,N/A,0,N/A,N/A,N/A
Ocotea multinervis,0,100,0,N/A,N/A,N/A,N/A
Ocotea oblonga,3000,1400,1900,1800,1600,1200,N/A
Ocotea olivacea,0,400,1700,600,1100,500,N/A
Ocotea puberula,1600,800,1400,1300,2400,2800,500
Ocotea sericea,800,1100,100,N/A,N/A,0,N/A
Ocotea smithiana,1000,1100,600,N/A,N/A,N/A,N/A
Ocotea tessmannii,500,900,0,1300,400,N/A,N/A
Oenocarpus bacaba,0,0,0,N/A,0,N/A,N/A
Oenocarpus bataua,0,800,1200,1200,1100,1000,N/A
Oenocarpus minor,0,400,300,100,200,0,N/A
Olmedia aspera,0,1300,2100,2100,1500,1200,N/A
Oreopanax albanensis,1100,0,0,N/A,N/A,N/A,N/A
Oreopanax bogotensis,800,1400,1500,N/A,N/A,N/A,N/A
Oreopanax capitatus,600,1600,1400,2700,1900,0,N/A
Oreopanax discolor,800,900,N/A,N/A,N/A,N/A,N/A
Oreopanax incisus,700,3200,1500,0,N/A,N/A,N/A
Oreopanax seemannianus,0,2900,1000,N/A,N/A,N/A,N/A
Ormosia antioquensis,0,N/A,N/A,N/A,N/A,N/A,N/A
Ormosia cuatrecasasii,0,N/A,N/A,N/A,N/A,N/A,N/A
Orthaea glandulifera,600,0,N/A,N/A,N/A,N/A,N/A
Ossaea micrantha,0,1700,1500,0,0,N/A,N/A
Osteophloeum platyspermum,0,700,1300,1100,1000,N/A,N/A
Otoba gordoniifolia,0,1400,1600,N/A,N/A,N/A,N/A
Otoba novogranatensis,1500,1500,1600,N/A,N/A,N/A,N/A
Oxandra espintana,100,600,N/A,0,900,300,N/A
Oxandra panamensis,200,0,N/A,N/A,N/A,N/A,N/A
Oxandra venezuelana,100,N/A,N/A,N/A,N/A,N/A,N/A
Pachira mutisiana,200,N/A,N/A,N/A,N/A,N/A,N/A
Pachira sessilis,0,N/A,N/A,N/A,N/A,N/A,N/A
Palicourea acetosoides,500,1100,N/A,N/A,N/A,N/A,N/A
Palicourea amethystina,200,2600,2600,2300,1800,2100,N/A
Palicourea andaluciana,2100,1500,0,0,N/A,N/A,N/A
Palicourea andrei,0,900,900,100,0,N/A,N/A
Palicourea angustifolia,1600,3000,800,400,N/A,N/A,N/A
Palicourea apicata,1500,1900,1300,N/A,0,N/A,N/A
Palicourea cogolloi,1700,500,N/A,N/A,N/A,N/A,N/A
Palicourea demissa,1800,2600,2500,1400,N/A,N/A,N/A
Palicourea garciae,1800,3100,1600,400,300,N/A,N/A
Palicourea guianensis,1400,1700,2000,1600,1700,1600,N/A
Palicourea latifolia,0,900,0,400,800,N/A,N/A
Palicourea leuconeura,1600,1100,0,N/A,N/A,N/A,N/A
Palicourea luteonivea,0,800,1700,1100,700,0,N/A
Palicourea lyristipula,100,2000,1300,3000,400,N/A,N/A
Palicourea obovata,0,0,1800,1400,3200,N/A,N/A
Palicourea perquadrangularis,600,900,N/A,N/A,N/A,N/A,N/A
Palicourea pyramidalis,100,1800,1600,N/A,N/A,N/A,N/A
Palicourea rigidifolia,300,0,N/A,N/A,N/A,N/A,N/A
Palicourea stipularis,1800,2700,1700,700,1500,1900,N/A
Palicourea sulphurea,800,1100,400,2000,1400,N/A,N/A
Palicourea thyrsiflora,600,1700,2500,2700,2000,2300,N/A
Palicourea weberbaueri,200,1800,2200,1500,700,N/A,N/A
Panopsis metcalfii,0,700,500,N/A,N/A,N/A,N/A
Panopsis mucronata,200,0,0,N/A,800,N/A,N/A
Panopsis polystachya,0,2100,400,0,N/A,N/A,N/A
Panopsis rubescens,100,200,1900,N/A,2300,0,N/A
Panopsis suaveolens,700,0,0,N/A,0,N/A,N/A
Panopsis yolombo,2100,700,N/A,N/A,N/A,N/A,N/A
Paragynoxys corei,100,N/A,N/A,N/A,N/A,N/A,N/A
Parathesis adenanthera,0,100,1400,300,1400,700,N/A
Parinari pachyphylla,0,N/A,N/A,N/A,N/A,N/A,N/A
Passiflora arborea,200,1200,800,400,N/A,N/A,N/A
Passiflora macrophylla,0,800,1800,N/A,N/A,N/A,N/A
Paullinia capreolata,0,1100,1800,1700,1100,0,N/A
Pausandra trianae,0,300,700,0,600,700,N/A
Peltogyne paniculata,100,0,N/A,0,0,N/A,N/A
Peltogyne purpurea,100,N/A,N/A,N/A,N/A,N/A,N/A
Pentacalia disciformis,0,1200,200,N/A,N/A,N/A,N/A
Pentacalia theifolia,200,500,600,N/A,N/A,N/A,N/A
Pentagonia grandiflora,0,800,100,N/A,N/A,N/A,N/A
Pentagonia macrophylla,0,800,1200,0,0,N/A,N/A
Peperomia elongata,0,300,1400,0,100,900,N/A
Pera arborea,1100,500,N/A,N/A,0,N/A,N/A
Pera colombiana,900,N/A,N/A,N/A,N/A,N/A,N/A
Pera glabrata,1100,100,0,0,100,0,N/A
Perebea angustifolia,0,1700,2000,1700,900,N/A,N/A
Perebea guianensis,300,1100,1300,1200,1400,1900,N/A
Perebea xanthochyma,0,1700,1400,800,1400,N/A,N/A
Perrottetia sessiliflora,300,0,1300,400,1100,N/A,N/A
Persea americana,1600,2200,2900,3000,3400,2900,1000
Persea areolatocostae,100,1700,1700,1600,2200,1300,N/A
Persea caerulea,1100,1700,1700,1500,3100,2200,N/A
Persea chrysophylla,100,0,N/A,N/A,N/A,N/A,N/A
Persea cuneata,1200,1900,400,0,100,N/A,N/A
Persea ferruginea,500,0,600,100,1100,N/A,N/A
Persea mutisii,600,1800,900,100,200,N/A,N/A
Persea pseudofasciculata,0,0,900,1000,1600,1100,N/A
Persea raimondii,0,N/A,1200,0,0,N/A,N/A
Persea subcordata,400,300,1000,1000,2100,1500,N/A
Petrea pubescens,0,0,100,0,100,N/A,N/A
Pholidostachys dactyloides,0,400,500,N/A,N/A,N/A,N/A
Phyllanthus acuminatus,1600,1300,0,1100,0,1200,1500
Phyllanthus attenuatus,2600,1700,1600,N/A,1000,N/A,N/A
Picramnia latifolia,100,100,1600,700,800,800,N/A
Picramnia sellowii,0,400,2300,1400,2800,2100,N/A
Picrolemma huberi,300,0,N/A,N/A,N/A,N/A,N/A
Pinus patula,2800,100,700,N/A,N/A,1900,N/A
Axinaea colombiana,0,100,N/A,N/A,N/A,N/A,N/A
Axinaea lehmannii,1300,1700,N/A,N/A,N/A,N/A,N/A
Axinaea macrophylla,500,1200,1700,N/A,N/A,N/A,N/A
Axinaea pennellii,0,N/A,N/A,N/A,300,N/A,N/A
Axinaea scutigera,100,0,200,N/A,900,0,N/A
Baccharis brachylaenoides,1800,1800,2100,2500,2100,800,N/A
Baccharis latifolia,1100,2500,3200,2300,2800,3500,700
